기준연월,KTO카테고리소분류,소비금액비율(소분류별)
2018,피부과,17.55
2018,성형외과,34.46
2018,약국,5.44
2018,대학/종합병원,30.01
2018,치과,7.61
2018,안과,1.23
2018,한의학과,3.67
2018,한약방,0.03
2019,피부과,20.57
2019,성형외과,34.73
2019,약국,5.67
2019,대학/종합병원,26.82
2019,치과,7.16
2019,안과,1.34
2019,한의학과,3.66
2019,한약방,0.05
2020,피부과,14.86
2020,성형외과,22.82
2020,약국,14.9
2020,대학/종합병원,28.63
2020,치과,12.12
2020,안과,1.65
2020,한의학과,4.96
2020,한약방,0.07
2021,피부과,15.97
2021,성형외과,14.61
2021,약국,6.69
2021,대학/종합병원,39.46
2021,치과,15.58
2021,안과,2.63
2021,한의학과,5.02
2021,한약방,0.04
2022,피부과,18.47
2022,성형외과,35.16
2022,약국,5.84
2022,대학/종합병원,23.24
2022,치과,11.04
2022,안과,2.75
2022,한의학과,3.47
2022,한약방,0.04
2023,피부과,32.83
2023,성형외과,36.33
2023,약국,4.78
2023,대학/종합병원,15.02
2023,치과,6.44
2023,안과,2.12
2023,한의학과,2.46
2023,한약방,0.02
2024,피부과,47.96
2024,성형외과,29.08
2024,약국,4.72
2024,대학/종합병원,9.42
2024,치과,4.86
2024,안과,2.06
2024,한의학과,1.88
2024,한약방,0.01
2025,피부과,54.51
2025,성형외과,23.88
2025,약국,7.3
2025,대학/종합병원,7.08
2025,치과,4.0
2025,안과,1.85
2025,한의학과,1.37
2025,한약방,0.01
2026,피부과,55.76
2026,성형외과,19.66
2026,약국,11.94
2026,대학/종합병원,6.16
2026,치과,3.79
2026,안과,1.51
2026,한의학과,1.16
2026,한약방,0.01
