기준연월,KTO카테고리소분류,소비금액비율(소분류별)
202501,피부과,50.78
202501,성형외과,27.3
202501,약국,4.94
202501,대학/종합병원,9.14
202501,치과,4.26
202501,안과,2.06
202501,한의학과,1.5
202501,한약방,0.01
202502,피부과,48.98
202502,성형외과,28.31
202502,약국,4.82
202502,대학/종합병원,9.27
202502,치과,4.8
202502,안과,2.18
202502,한의학과,1.64
202502,한약방,0.01
202503,피부과,54.15
202503,성형외과,25.69
202503,약국,4.95
202503,대학/종합병원,7.79
202503,치과,4.05
202503,안과,2.01
202503,한의학과,1.36
202503,한약방,0.01
202504,피부과,53.93
202504,성형외과,26.14
202504,약국,5.66
202504,대학/종합병원,6.99
202504,치과,3.88
202504,안과,2.07
202504,한의학과,1.32
202504,한약방,0.01
202505,피부과,54.42
202505,성형외과,23.02
202505,약국,7.38
202505,대학/종합병원,7.11
202505,치과,4.36
202505,안과,2.24
202505,한의학과,1.46
202505,한약방,0.01
202506,피부과,54.47
202506,성형외과,23.34
202506,약국,7.68
202506,대학/종합병원,7.11
202506,치과,4.06
202506,안과,1.92
202506,한의학과,1.42
202506,한약방,0.01
202507,피부과,53.74
202507,성형외과,22.65
202507,약국,7.56
202507,대학/종합병원,8.01
202507,치과,4.59
202507,안과,1.83
202507,한의학과,1.61
202507,한약방,0.01
202508,피부과,55.02
202508,성형외과,23.21
202508,약국,7.6
202508,대학/종합병원,7.05
202508,치과,3.99
202508,안과,1.76
202508,한의학과,1.36
202508,한약방,0.01
202509,피부과,55.01
202509,성형외과,23.39
202509,약국,7.94
202509,대학/종합병원,6.66
202509,치과,3.89
202509,안과,1.73
202509,한의학과,1.38
202509,한약방,0.01
202510,피부과,54.31
202510,성형외과,22.81
202510,약국,8.82
202510,대학/종합병원,6.8
202510,치과,4.15
202510,안과,1.76
202510,한의학과,1.34
202510,한약방,0.01
202511,피부과,56.25
202511,성형외과,22.01
202511,약국,9.12
202511,대학/종합병원,6.36
202511,치과,3.56
202511,안과,1.49
202511,한의학과,1.21
202511,한약방,0.01
202512,피부과,57.54
202512,성형외과,22.79
202512,약국,8.1
202512,대학/종합병원,5.5
202512,치과,3.3
202512,안과,1.61
202512,한의학과,1.14
202512,한약방,0.01
