기준연월,KTO카테고리소분류,소비건수비율(소분류별)
202501,약국,53.48
202501,피부과,23.1
202501,대학/종합병원,8.49
202501,성형외과,6.43
202501,치과,4.46
202501,한의학과,2.53
202501,안과,1.44
202501,한약방,0.07
202502,약국,50.15
202502,피부과,24.71
202502,대학/종합병원,9.12
202502,성형외과,7.09
202502,치과,4.64
202502,한의학과,2.74
202502,안과,1.48
202502,한약방,0.06
202503,약국,53.24
202503,피부과,25.62
202503,대학/종합병원,6.92
202503,성형외과,6.79
202503,치과,3.82
202503,한의학과,2.18
202503,안과,1.33
202503,한약방,0.1
202504,약국,56.57
202504,피부과,23.27
202504,대학/종합병원,6.68
202504,성형외과,6.16
202504,치과,3.74
202504,한의학과,2.08
202504,안과,1.41
202504,한약방,0.08
202505,약국,58.81
202505,피부과,22.11
202505,대학/종합병원,6.03
202505,성형외과,5.75
202505,치과,3.62
202505,한의학과,2.21
202505,안과,1.38
202505,한약방,0.09
202506,약국,57.94
202506,피부과,22.42
202506,대학/종합병원,6.31
202506,성형외과,5.62
202506,치과,3.98
202506,한의학과,2.17
202506,안과,1.48
202506,한약방,0.09
202507,약국,56.37
202507,피부과,22.34
202507,대학/종합병원,7.17
202507,성형외과,5.55
202507,치과,4.59
202507,한의학과,2.39
202507,안과,1.52
202507,한약방,0.07
202508,약국,58.21
202508,피부과,22.61
202508,대학/종합병원,6.42
202508,성형외과,5.65
202508,치과,3.7
202508,한의학과,2.08
202508,안과,1.27
202508,한약방,0.07
202509,약국,60.63
202509,피부과,21.99
202509,대학/종합병원,5.63
202509,성형외과,5.62
202509,치과,3.15
202509,한의학과,1.9
202509,안과,1.01
202509,한약방,0.08
202510,약국,63.12
202510,피부과,19.78
202510,대학/종합병원,5.64
202510,성형외과,4.87
202510,치과,3.42
202510,한의학과,1.99
202510,안과,1.09
202510,한약방,0.1
202511,약국,63.59
202511,피부과,20.37
202511,대학/종합병원,5.23
202511,성형외과,4.89
202511,치과,3.06
202511,한의학과,1.83
202511,안과,0.97
202511,한약방,0.08
202512,약국,61.31
202512,피부과,21.3
202512,대학/종합병원,5.45
202512,성형외과,5.2
202512,치과,3.62
202512,한의학과,1.9
202512,안과,1.16
202512,한약방,0.06
