기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,대만,약국,60.13
2018,대만,피부과,7.88
2018,대만,성형외과,10.47
2018,대만,안과,0.58
2018,대만,치과,4.31
2018,대만,대학/종합병원,14.93
2018,대만,한의학과,1.32
2018,대만,한약방,0.39
2019,대만,약국,62.47
2019,대만,피부과,7.76
2019,대만,성형외과,10.64
2019,대만,안과,0.74
2019,대만,치과,4.06
2019,대만,대학/종합병원,11.09
2019,대만,한의학과,2.41
2019,대만,한약방,0.84
2020,대만,약국,69.84
2020,대만,피부과,5.93
2020,대만,성형외과,5.08
2020,대만,안과,0.94
2020,대만,치과,5.88
2020,대만,대학/종합병원,9.61
2020,대만,한의학과,2.34
2020,대만,한약방,0.38
2021,대만,약국,40.05
2021,대만,피부과,8.88
2021,대만,성형외과,2.48
2021,대만,안과,1.03
2021,대만,치과,6.76
2021,대만,대학/종합병원,37.19
2021,대만,한의학과,3.54
2021,대만,한약방,0.06
2022,대만,약국,56.52
2022,대만,피부과,11.94
2022,대만,성형외과,8.05
2022,대만,안과,1.22
2022,대만,치과,5.07
2022,대만,대학/종합병원,14.62
2022,대만,한의학과,2.32
2022,대만,한약방,0.27
2023,대만,약국,56.71
2023,대만,피부과,22.13
2023,대만,성형외과,14.35
2023,대만,안과,0.77
2023,대만,치과,1.51
2023,대만,대학/종합병원,3.09
2023,대만,한의학과,1.03
2023,대만,한약방,0.41
2024,대만,약국,42.68
2024,대만,피부과,41.51
2024,대만,성형외과,11.84
2024,대만,안과,1.36
2024,대만,치과,0.93
2024,대만,대학/종합병원,1.0
2024,대만,한의학과,0.54
2024,대만,한약방,0.13
2025,대만,약국,64.07
2025,대만,피부과,29.12
2025,대만,성형외과,4.79
2025,대만,안과,0.75
2025,대만,치과,0.5
2025,대만,대학/종합병원,0.47
2025,대만,한의학과,0.23
2025,대만,한약방,0.08
2026,대만,약국,80.51
2026,대만,피부과,15.94
2026,대만,성형외과,2.3
2026,대만,안과,0.36
2026,대만,치과,0.33
2026,대만,대학/종합병원,0.33
2026,대만,한의학과,0.13
2026,대만,한약방,0.1
