기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,대만,피부과,9.2
2018,대만,약국,7.27
2018,대만,성형외과,50.37
2018,대만,안과,0.5
2018,대만,치과,6.52
2018,대만,대학/종합병원,24.68
2018,대만,한의학과,1.39
2018,대만,한약방,0.07
2019,대만,피부과,10.16
2019,대만,약국,6.78
2019,대만,성형외과,56.83
2019,대만,안과,0.22
2019,대만,치과,3.99
2019,대만,대학/종합병원,20.23
2019,대만,한의학과,1.65
2019,대만,한약방,0.14
2020,대만,피부과,10.48
2020,대만,약국,19.32
2020,대만,성형외과,46.0
2020,대만,안과,1.57
2020,대만,치과,7.76
2020,대만,대학/종합병원,12.51
2020,대만,한의학과,2.28
2020,대만,한약방,0.08
2021,대만,피부과,23.42
2021,대만,약국,5.91
2021,대만,성형외과,10.65
2021,대만,안과,0.98
2021,대만,치과,14.37
2021,대만,대학/종합병원,37.22
2021,대만,한의학과,7.4
2021,대만,한약방,0.06
2022,대만,피부과,27.19
2022,대만,약국,6.23
2022,대만,성형외과,42.04
2022,대만,안과,1.9
2022,대만,치과,8.29
2022,대만,대학/종합병원,11.92
2022,대만,한의학과,2.4
2022,대만,한약방,0.03
2023,대만,피부과,48.29
2023,대만,약국,3.82
2023,대만,성형외과,38.98
2023,대만,안과,1.32
2023,대만,치과,1.28
2023,대만,대학/종합병원,5.5
2023,대만,한의학과,0.78
2023,대만,한약방,0.02
2024,대만,피부과,71.27
2024,대만,약국,1.78
2024,대만,성형외과,22.18
2024,대만,안과,3.03
2024,대만,치과,0.76
2024,대만,대학/종합병원,0.7
2024,대만,한의학과,0.27
2024,대만,한약방,0.0
2025,대만,피부과,73.82
2025,대만,약국,7.66
2025,대만,성형외과,14.77
2025,대만,안과,2.35
2025,대만,치과,0.72
2025,대만,대학/종합병원,0.44
2025,대만,한의학과,0.22
2025,대만,한약방,0.0
2026,대만,피부과,65.31
2026,대만,약국,20.78
2026,대만,성형외과,10.78
2026,대만,안과,1.9
2026,대만,치과,0.65
2026,대만,대학/종합병원,0.41
2026,대만,한의학과,0.15
2026,대만,한약방,0.01
