기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,미국,약국,44.14
2018,미국,피부과,9.61
2018,미국,대학/종합병원,24.72
2018,미국,치과,10.21
2018,미국,성형외과,3.45
2018,미국,한의학과,5.53
2018,미국,안과,2.25
2018,미국,한약방,0.08
2019,미국,약국,44.29
2019,미국,피부과,10.03
2019,미국,대학/종합병원,23.78
2019,미국,치과,9.94
2019,미국,성형외과,3.64
2019,미국,한의학과,5.9
2019,미국,안과,2.33
2019,미국,한약방,0.08
2020,미국,약국,46.61
2020,미국,피부과,8.58
2020,미국,대학/종합병원,24.22
2020,미국,치과,10.43
2020,미국,성형외과,2.5
2020,미국,한의학과,5.54
2020,미국,안과,2.07
2020,미국,한약방,0.06
2021,미국,약국,37.97
2021,미국,피부과,8.8
2021,미국,대학/종합병원,32.98
2021,미국,치과,10.03
2021,미국,성형외과,2.63
2021,미국,한의학과,5.28
2021,미국,안과,2.27
2021,미국,한약방,0.05
2022,미국,약국,47.52
2022,미국,피부과,9.88
2022,미국,대학/종합병원,21.6
2022,미국,치과,9.36
2022,미국,성형외과,4.0
2022,미국,한의학과,4.93
2022,미국,안과,2.64
2022,미국,한약방,0.08
2023,미국,약국,49.61
2023,미국,피부과,11.83
2023,미국,대학/종합병원,17.16
2023,미국,치과,8.46
2023,미국,성형외과,5.57
2023,미국,한의학과,4.64
2023,미국,안과,2.65
2023,미국,한약방,0.07
2024,미국,약국,51.02
2024,미국,피부과,14.24
2024,미국,대학/종합병원,13.89
2024,미국,치과,8.35
2024,미국,성형외과,5.05
2024,미국,한의학과,4.71
2024,미국,안과,2.67
2024,미국,한약방,0.07
2025,미국,약국,53.62
2025,미국,피부과,14.54
2025,미국,대학/종합병원,12.31
2025,미국,치과,7.96
2025,미국,성형외과,4.68
2025,미국,한의학과,4.3
2025,미국,안과,2.53
2025,미국,한약방,0.05
2026,미국,약국,57.5
2026,미국,피부과,13.58
2026,미국,대학/종합병원,11.1
2026,미국,치과,7.68
2026,미국,성형외과,3.91
2026,미국,한의학과,3.9
2026,미국,안과,2.28
2026,미국,한약방,0.05
