기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,미국,피부과,17.36
2018,미국,성형외과,24.43
2018,미국,대학/종합병원,30.57
2018,미국,치과,14.46
2018,미국,약국,6.3
2018,미국,안과,2.26
2018,미국,한의학과,4.58
2018,미국,한약방,0.04
2019,미국,피부과,17.81
2019,미국,성형외과,25.49
2019,미국,대학/종합병원,28.79
2019,미국,치과,14.55
2019,미국,약국,6.16
2019,미국,안과,2.56
2019,미국,한의학과,4.6
2019,미국,한약방,0.05
2020,미국,피부과,15.91
2020,미국,성형외과,18.06
2020,미국,대학/종합병원,31.25
2020,미국,치과,18.65
2020,미국,약국,8.47
2020,미국,안과,2.86
2020,미국,한의학과,4.77
2020,미국,한약방,0.04
2021,미국,피부과,17.08
2021,미국,성형외과,17.11
2021,미국,대학/종합병원,33.39
2021,미국,치과,17.82
2021,미국,약국,6.89
2021,미국,안과,3.46
2021,미국,한의학과,4.2
2021,미국,한약방,0.04
2022,미국,피부과,19.57
2022,미국,성형외과,27.87
2022,미국,대학/종합병원,24.07
2022,미국,치과,14.65
2022,미국,약국,6.41
2022,미국,안과,3.78
2022,미국,한의학과,3.59
2022,미국,한약방,0.05
2023,미국,피부과,24.25
2023,미국,성형외과,31.29
2023,미국,대학/종합병원,19.68
2023,미국,치과,12.08
2023,미국,약국,5.71
2023,미국,안과,3.74
2023,미국,한의학과,3.21
2023,미국,한약방,0.03
2024,미국,피부과,33.1
2024,미국,성형외과,29.38
2024,미국,대학/종합병원,14.69
2024,미국,치과,10.57
2024,미국,약국,5.63
2024,미국,안과,3.52
2024,미국,한의학과,3.09
2024,미국,한약방,0.02
2025,미국,피부과,39.4
2025,미국,성형외과,27.34
2025,미국,대학/종합병원,11.84
2025,미국,치과,9.32
2025,미국,약국,6.77
2025,미국,안과,2.89
2025,미국,한의학과,2.42
2025,미국,한약방,0.01
2026,미국,피부과,41.87
2026,미국,성형외과,24.35
2026,미국,대학/종합병원,10.99
2026,미국,치과,9.21
2026,미국,약국,8.82
2026,미국,안과,2.48
2026,미국,한의학과,2.25
2026,미국,한약방,0.02
