기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,일본,약국,35.4
2018,일본,피부과,25.38
2018,일본,성형외과,11.09
2018,일본,치과,3.82
2018,일본,한의학과,15.87
2018,일본,대학/종합병원,7.54
2018,일본,안과,0.69
2018,일본,한약방,0.2
2019,일본,약국,34.33
2019,일본,피부과,27.48
2019,일본,성형외과,16.72
2019,일본,치과,3.15
2019,일본,한의학과,12.3
2019,일본,대학/종합병원,5.05
2019,일본,안과,0.6
2019,일본,한약방,0.37
2020,일본,약국,41.78
2020,일본,피부과,16.33
2020,일본,성형외과,11.74
2020,일본,치과,5.17
2020,일본,한의학과,13.68
2020,일본,대학/종합병원,10.19
2020,일본,안과,0.97
2020,일본,한약방,0.15
2021,일본,약국,36.49
2021,일본,피부과,7.96
2021,일본,성형외과,4.06
2021,일본,치과,7.98
2021,일본,한의학과,9.88
2021,일본,대학/종합병원,32.29
2021,일본,안과,1.27
2021,일본,한약방,0.07
2022,일본,약국,43.8
2022,일본,피부과,14.07
2022,일본,성형외과,12.13
2022,일본,치과,4.91
2022,일본,한의학과,5.7
2022,일본,대학/종합병원,18.44
2022,일본,안과,0.82
2022,일본,한약방,0.12
2023,일본,약국,34.43
2023,일본,피부과,42.72
2023,일본,성형외과,16.56
2023,일본,치과,1.56
2023,일본,한의학과,2.44
2023,일본,대학/종합병원,1.89
2023,일본,안과,0.27
2023,일본,한약방,0.13
2024,일본,약국,37.93
2024,일본,피부과,46.06
2024,일본,성형외과,12.52
2024,일본,치과,1.06
2024,일본,한의학과,1.38
2024,일본,대학/종합병원,0.76
2024,일본,안과,0.24
2024,일본,한약방,0.07
2025,일본,약국,53.4
2025,일본,피부과,34.66
2025,일본,성형외과,8.96
2025,일본,치과,1.02
2025,일본,한의학과,1.15
2025,일본,대학/종합병원,0.57
2025,일본,안과,0.2
2025,일본,한약방,0.05
2026,일본,약국,67.08
2026,일본,피부과,24.4
2026,일본,성형외과,5.94
2026,일본,치과,0.98
2026,일본,한의학과,0.87
2026,일본,대학/종합병원,0.53
2026,일본,안과,0.17
2026,일본,한약방,0.03
