기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,일본,피부과,32.85
2018,일본,성형외과,33.64
2018,일본,약국,3.55
2018,일본,치과,4.75
2018,일본,한의학과,19.2
2018,일본,대학/종합병원,5.65
2018,일본,안과,0.26
2018,일본,한약방,0.1
2019,일본,피부과,33.47
2019,일본,성형외과,42.23
2019,일본,약국,2.91
2019,일본,치과,3.91
2019,일본,한의학과,13.15
2019,일본,대학/종합병원,3.76
2019,일본,안과,0.37
2019,일본,한약방,0.2
2020,일본,피부과,24.15
2020,일본,성형외과,40.11
2020,일본,약국,4.55
2020,일본,치과,7.25
2020,일본,한의학과,17.13
2020,일본,대학/종합병원,6.23
2020,일본,안과,0.52
2020,일본,한약방,0.06
2021,일본,피부과,14.38
2021,일본,성형외과,18.41
2021,일본,약국,5.25
2021,일본,치과,15.63
2021,일본,한의학과,22.44
2021,일본,대학/종합병원,22.95
2021,일본,안과,0.92
2021,일본,한약방,0.03
2022,일본,피부과,22.72
2022,일본,성형외과,50.62
2022,일본,약국,4.13
2022,일본,치과,7.46
2022,일본,한의학과,7.14
2022,일본,대학/종합병원,7.27
2022,일본,안과,0.63
2022,일본,한약방,0.03
2023,일본,피부과,48.41
2023,일본,성형외과,41.21
2023,일본,약국,3.15
2023,일본,치과,2.42
2023,일본,한의학과,2.85
2023,일본,대학/종합병원,1.72
2023,일본,안과,0.21
2023,일본,한약방,0.03
2024,일본,피부과,58.72
2024,일본,성형외과,31.54
2024,일본,약국,4.69
2024,일본,치과,2.15
2024,일본,한의학과,1.82
2024,일본,대학/종합병원,0.6
2024,일본,안과,0.45
2024,일본,한약방,0.02
2025,일본,피부과,59.26
2025,일본,성형외과,26.11
2025,일본,약국,9.41
2025,일본,치과,2.53
2025,일본,한의학과,1.59
2025,일본,대학/종합병원,0.53
2025,일본,안과,0.56
2025,일본,한약방,0.01
2026,일본,피부과,55.21
2026,일본,성형외과,22.83
2026,일본,약국,16.77
2026,일본,치과,2.75
2026,일본,한의학과,1.23
2026,일본,대학/종합병원,0.72
2026,일본,안과,0.48
2026,일본,한약방,0.01
