기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,중국,약국,55.54
2018,중국,피부과,10.94
2018,중국,성형외과,11.04
2018,중국,대학/종합병원,14.42
2018,중국,치과,5.0
2018,중국,한의학과,1.74
2018,중국,안과,1.15
2018,중국,한약방,0.17
2019,중국,약국,58.12
2019,중국,피부과,11.72
2019,중국,성형외과,9.46
2019,중국,대학/종합병원,12.93
2019,중국,치과,4.88
2019,중국,한의학과,1.59
2019,중국,안과,1.1
2019,중국,한약방,0.19
2020,중국,약국,71.32
2020,중국,피부과,5.45
2020,중국,성형외과,3.78
2020,중국,대학/종합병원,12.0
2020,중국,치과,4.41
2020,중국,한의학과,2.06
2020,중국,안과,0.72
2020,중국,한약방,0.26
2021,중국,약국,44.82
2021,중국,피부과,9.83
2021,중국,성형외과,2.96
2021,중국,대학/종합병원,27.73
2021,중국,치과,8.51
2021,중국,한의학과,4.66
2021,중국,안과,1.42
2021,중국,한약방,0.08
2022,중국,약국,55.39
2022,중국,피부과,8.82
2022,중국,성형외과,3.9
2022,중국,대학/종합병원,20.57
2022,중국,치과,6.09
2022,중국,한의학과,3.78
2022,중국,안과,1.22
2022,중국,한약방,0.22
2023,중국,약국,58.91
2023,중국,피부과,18.76
2023,중국,성형외과,6.09
2023,중국,대학/종합병원,9.02
2023,중국,치과,3.77
2023,중국,한의학과,2.21
2023,중국,안과,0.94
2023,중국,한약방,0.31
2024,중국,약국,60.35
2024,중국,피부과,23.85
2024,중국,성형외과,6.23
2024,중국,대학/종합병원,3.73
2024,중국,치과,2.9
2024,중국,한의학과,1.9
2024,중국,안과,0.77
2024,중국,한약방,0.26
2025,중국,약국,62.03
2025,중국,피부과,25.07
2025,중국,성형외과,5.42
2025,중국,대학/종합병원,2.82
2025,중국,치과,2.34
2025,중국,한의학과,1.41
2025,중국,안과,0.61
2025,중국,한약방,0.29
2026,중국,약국,68.14
2026,중국,피부과,21.64
2026,중국,성형외과,3.83
2026,중국,대학/종합병원,2.32
2026,중국,치과,2.14
2026,중국,한의학과,1.17
2026,중국,안과,0.54
2026,중국,한약방,0.23
