기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,중국,피부과,22.32
2018,중국,성형외과,45.64
2018,중국,약국,6.37
2018,중국,대학/종합병원,16.25
2018,중국,치과,6.54
2018,중국,한의학과,1.5
2018,중국,안과,1.34
2018,중국,한약방,0.03
2019,중국,피부과,27.14
2019,중국,성형외과,41.94
2019,중국,약국,7.14
2019,중국,대학/종합병원,14.27
2019,중국,치과,6.47
2019,중국,한의학과,1.63
2019,중국,안과,1.39
2019,중국,한약방,0.02
2020,중국,피부과,15.97
2020,중국,성형외과,24.61
2020,중국,약국,28.18
2020,중국,대학/종합병원,15.81
2020,중국,치과,11.16
2020,중국,한의학과,2.77
2020,중국,안과,1.38
2020,중국,한약방,0.11
2021,중국,피부과,22.35
2021,중국,성형외과,12.31
2021,중국,약국,8.31
2021,중국,대학/종합병원,30.72
2021,중국,치과,19.08
2021,중국,한의학과,4.59
2021,중국,안과,2.59
2021,중국,한약방,0.05
2022,중국,피부과,26.44
2022,중국,성형외과,26.95
2022,중국,약국,8.67
2022,중국,대학/종합병원,19.79
2022,중국,치과,11.17
2022,중국,한의학과,4.03
2022,중국,안과,2.9
2022,중국,한약방,0.04
2023,중국,피부과,51.12
2023,중국,성형외과,27.65
2023,중국,약국,5.8
2023,중국,대학/종합병원,7.92
2023,중국,치과,4.3
2023,중국,한의학과,1.91
2023,중국,안과,1.27
2023,중국,한약방,0.03
2024,중국,피부과,66.12
2024,중국,성형외과,21.83
2024,중국,약국,4.03
2024,중국,대학/종합병원,3.33
2024,중국,치과,2.68
2024,중국,한의학과,1.2
2024,중국,안과,0.8
2024,중국,한약방,0.01
2025,중국,피부과,72.11
2025,중국,성형외과,18.99
2025,중국,약국,3.88
2025,중국,대학/종합병원,2.3
2025,중국,치과,1.47
2025,중국,한의학과,0.71
2025,중국,안과,0.53
2025,중국,한약방,0.01
2026,중국,피부과,73.96
2026,중국,성형외과,14.72
2026,중국,약국,6.85
2026,중국,대학/종합병원,1.88
2026,중국,치과,1.53
2026,중국,한의학과,0.56
2026,중국,안과,0.5
2026,중국,한약방,0.01
