기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,태국,약국,44.57
2018,태국,피부과,13.79
2018,태국,성형외과,24.32
2018,태국,대학/종합병원,10.54
2018,태국,치과,3.73
2018,태국,한의학과,1.47
2018,태국,안과,1.06
2018,태국,한약방,0.52
2019,태국,약국,53.47
2019,태국,피부과,9.76
2019,태국,성형외과,22.53
2019,태국,대학/종합병원,8.27
2019,태국,치과,3.28
2019,태국,한의학과,1.51
2019,태국,안과,0.75
2019,태국,한약방,0.43
2020,태국,약국,57.95
2020,태국,피부과,7.68
2020,태국,성형외과,12.3
2020,태국,대학/종합병원,10.02
2020,태국,치과,7.58
2020,태국,한의학과,3.24
2020,태국,안과,0.88
2020,태국,한약방,0.35
2021,태국,약국,48.92
2021,태국,피부과,9.76
2021,태국,성형외과,7.04
2021,태국,대학/종합병원,19.16
2021,태국,치과,10.73
2021,태국,한의학과,2.86
2021,태국,안과,1.27
2021,태국,한약방,0.27
2022,태국,약국,56.79
2022,태국,피부과,10.27
2022,태국,성형외과,22.09
2022,태국,대학/종합병원,6.54
2022,태국,치과,2.58
2022,태국,한의학과,0.72
2022,태국,안과,0.66
2022,태국,한약방,0.36
2023,태국,약국,43.99
2023,태국,피부과,32.67
2023,태국,성형외과,17.26
2023,태국,대학/종합병원,3.36
2023,태국,치과,1.61
2023,태국,한의학과,0.48
2023,태국,안과,0.4
2023,태국,한약방,0.23
2024,태국,약국,47.62
2024,태국,피부과,36.22
2024,태국,성형외과,10.34
2024,태국,대학/종합병원,3.32
2024,태국,치과,1.44
2024,태국,한의학과,0.58
2024,태국,안과,0.37
2024,태국,한약방,0.1
2025,태국,약국,54.4
2025,태국,피부과,34.09
2025,태국,성형외과,6.69
2025,태국,대학/종합병원,2.66
2025,태국,치과,1.3
2025,태국,한의학과,0.45
2025,태국,안과,0.33
2025,태국,한약방,0.08
2026,태국,약국,62.17
2026,태국,피부과,30.26
2026,태국,성형외과,4.42
2026,태국,대학/종합병원,1.41
2026,태국,치과,0.98
2026,태국,한의학과,0.41
2026,태국,안과,0.28
2026,태국,한약방,0.06
