기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,태국,피부과,7.36
2018,태국,성형외과,84.77
2018,태국,약국,2.18
2018,태국,대학/종합병원,3.47
2018,태국,치과,1.4
2018,태국,안과,0.27
2018,태국,한의학과,0.55
2018,태국,한약방,0.01
2019,태국,피부과,5.15
2019,태국,성형외과,87.31
2019,태국,약국,2.83
2019,태국,대학/종합병원,2.98
2019,태국,치과,1.3
2019,태국,안과,0.1
2019,태국,한의학과,0.31
2019,태국,한약방,0.03
2020,태국,피부과,6.96
2020,태국,성형외과,74.67
2020,태국,약국,5.24
2020,태국,대학/종합병원,6.11
2020,태국,치과,4.59
2020,태국,안과,1.0
2020,태국,한의학과,1.42
2020,태국,한약방,0.02
2021,태국,피부과,31.69
2021,태국,성형외과,25.95
2021,태국,약국,7.82
2021,태국,대학/종합병원,16.66
2021,태국,치과,15.16
2021,태국,안과,1.1
2021,태국,한의학과,1.4
2021,태국,한약방,0.23
2022,태국,피부과,9.81
2022,태국,성형외과,83.33
2022,태국,약국,2.34
2022,태국,대학/종합병원,1.85
2022,태국,치과,2.13
2022,태국,안과,0.2
2022,태국,한의학과,0.34
2022,태국,한약방,0.01
2023,태국,피부과,30.65
2023,태국,성형외과,64.05
2023,태국,약국,1.77
2023,태국,대학/종합병원,1.99
2023,태국,치과,1.15
2023,태국,안과,0.17
2023,태국,한의학과,0.21
2023,태국,한약방,0.0
2024,태국,피부과,44.27
2024,태국,성형외과,50.14
2024,태국,약국,2.13
2024,태국,대학/종합병원,1.95
2024,태국,치과,1.02
2024,태국,안과,0.13
2024,태국,한의학과,0.35
2024,태국,한약방,0.0
2025,태국,피부과,55.4
2025,태국,성형외과,37.74
2025,태국,약국,4.19
2025,태국,대학/종합병원,1.42
2025,태국,치과,0.81
2025,태국,안과,0.16
2025,태국,한의학과,0.27
2025,태국,한약방,0.0
2026,태국,피부과,62.67
2026,태국,성형외과,27.43
2026,태국,약국,7.51
2026,태국,대학/종합병원,1.24
2026,태국,치과,0.78
2026,태국,안과,0.2
2026,태국,한의학과,0.17
2026,태국,한약방,0.0
