기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,홍콩,약국,38.14
2018,홍콩,피부과,15.99
2018,홍콩,성형외과,8.33
2018,홍콩,치과,9.53
2018,홍콩,대학/종합병원,20.28
2018,홍콩,한의학과,5.78
2018,홍콩,안과,1.83
2018,홍콩,한약방,0.12
2019,홍콩,약국,41.84
2019,홍콩,피부과,16.68
2019,홍콩,성형외과,8.42
2019,홍콩,치과,10.04
2019,홍콩,대학/종합병원,16.78
2019,홍콩,한의학과,4.02
2019,홍콩,안과,2.09
2019,홍콩,한약방,0.14
2020,홍콩,약국,62.32
2020,홍콩,피부과,8.71
2020,홍콩,성형외과,2.94
2020,홍콩,치과,7.23
2020,홍콩,대학/종합병원,12.24
2020,홍콩,한의학과,4.95
2020,홍콩,안과,1.34
2020,홍콩,한약방,0.27
2021,홍콩,약국,38.62
2021,홍콩,피부과,10.78
2021,홍콩,성형외과,4.54
2021,홍콩,치과,11.1
2021,홍콩,대학/종합병원,27.97
2021,홍콩,한의학과,4.95
2021,홍콩,안과,1.99
2021,홍콩,한약방,0.04
2022,홍콩,약국,46.33
2022,홍콩,피부과,13.05
2022,홍콩,성형외과,6.03
2022,홍콩,치과,10.1
2022,홍콩,대학/종합병원,18.52
2022,홍콩,한의학과,3.69
2022,홍콩,안과,2.2
2022,홍콩,한약방,0.07
2023,홍콩,약국,47.9
2023,홍콩,피부과,19.58
2023,홍콩,성형외과,9.36
2023,홍콩,치과,7.57
2023,홍콩,대학/종합병원,10.65
2023,홍콩,한의학과,2.96
2023,홍콩,안과,1.91
2023,홍콩,한약방,0.09
2024,홍콩,약국,44.39
2024,홍콩,피부과,32.96
2024,홍콩,성형외과,7.62
2024,홍콩,치과,5.38
2024,홍콩,대학/종합병원,5.42
2024,홍콩,한의학과,2.71
2024,홍콩,안과,1.45
2024,홍콩,한약방,0.06
2025,홍콩,약국,53.39
2025,홍콩,피부과,31.42
2025,홍콩,성형외과,4.71
2025,홍콩,치과,3.65
2025,홍콩,대학/종합병원,3.91
2025,홍콩,한의학과,1.91
2025,홍콩,안과,0.97
2025,홍콩,한약방,0.04
2026,홍콩,약국,68.26
2026,홍콩,피부과,21.69
2026,홍콩,성형외과,3.19
2026,홍콩,치과,2.51
2026,홍콩,대학/종합병원,2.5
2026,홍콩,한의학과,1.23
2026,홍콩,안과,0.58
2026,홍콩,한약방,0.04
