기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,홍콩,피부과,28.58
2018,홍콩,성형외과,35.47
2018,홍콩,약국,4.17
2018,홍콩,대학/종합병원,18.12
2018,홍콩,치과,8.91
2018,홍콩,한의학과,3.98
2018,홍콩,안과,0.67
2018,홍콩,한약방,0.09
2019,홍콩,피부과,33.08
2019,홍콩,성형외과,35.19
2019,홍콩,약국,4.62
2019,홍콩,대학/종합병원,14.77
2019,홍콩,치과,8.1
2019,홍콩,한의학과,3.43
2019,홍콩,안과,0.74
2019,홍콩,한약방,0.07
2020,홍콩,피부과,19.93
2020,홍콩,성형외과,22.57
2020,홍콩,약국,24.87
2020,홍콩,대학/종합병원,16.12
2020,홍콩,치과,11.62
2020,홍콩,한의학과,3.45
2020,홍콩,안과,1.17
2020,홍콩,한약방,0.28
2021,홍콩,피부과,25.48
2021,홍콩,성형외과,17.0
2021,홍콩,약국,6.53
2021,홍콩,대학/종합병원,26.14
2021,홍콩,치과,16.68
2021,홍콩,한의학과,5.33
2021,홍콩,안과,2.8
2021,홍콩,한약방,0.04
2022,홍콩,피부과,27.4
2022,홍콩,성형외과,38.03
2022,홍콩,약국,4.65
2022,홍콩,대학/종합병원,14.89
2022,홍콩,치과,10.06
2022,홍콩,한의학과,3.65
2022,홍콩,안과,1.3
2022,홍콩,한약방,0.01
2023,홍콩,피부과,41.08
2023,홍콩,성형외과,33.2
2023,홍콩,약국,4.03
2023,홍콩,대학/종합병원,10.42
2023,홍콩,치과,7.72
2023,홍콩,한의학과,2.39
2023,홍콩,안과,1.15
2023,홍콩,한약방,0.0
2024,홍콩,피부과,66.67
2024,홍콩,성형외과,20.35
2024,홍콩,약국,2.74
2024,홍콩,대학/종합병원,3.68
2024,홍콩,치과,3.85
2024,홍콩,한의학과,1.67
2024,홍콩,안과,1.03
2024,홍콩,한약방,0.01
2025,홍콩,피부과,74.63
2025,홍콩,성형외과,14.4
2025,홍콩,약국,4.98
2025,홍콩,대학/종합병원,2.14
2025,홍콩,치과,2.31
2025,홍콩,한의학과,1.0
2025,홍콩,안과,0.54
2025,홍콩,한약방,0.0
2026,홍콩,피부과,69.26
2026,홍콩,성형외과,12.78
2026,홍콩,약국,11.92
2026,홍콩,대학/종합병원,2.33
2026,홍콩,치과,2.29
2026,홍콩,한의학과,0.87
2026,홍콩,안과,0.54
2026,홍콩,한약방,0.0
