기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,글로벌,약국,53.48
202501,글로벌,피부과,23.1
202501,글로벌,대학/종합병원,8.49
202501,글로벌,성형외과,6.43
202501,글로벌,치과,4.46
202501,글로벌,한의학과,2.53
202501,글로벌,안과,1.44
202501,글로벌,한약방,0.07
202502,글로벌,약국,50.15
202502,글로벌,피부과,24.71
202502,글로벌,대학/종합병원,9.12
202502,글로벌,성형외과,7.09
202502,글로벌,치과,4.64
202502,글로벌,한의학과,2.74
202502,글로벌,안과,1.48
202502,글로벌,한약방,0.06
202503,글로벌,약국,53.24
202503,글로벌,피부과,25.62
202503,글로벌,대학/종합병원,6.92
202503,글로벌,성형외과,6.79
202503,글로벌,치과,3.82
202503,글로벌,한의학과,2.18
202503,글로벌,안과,1.33
202503,글로벌,한약방,0.1
202504,글로벌,약국,56.57
202504,글로벌,피부과,23.27
202504,글로벌,대학/종합병원,6.68
202504,글로벌,성형외과,6.16
202504,글로벌,치과,3.74
202504,글로벌,한의학과,2.08
202504,글로벌,안과,1.41
202504,글로벌,한약방,0.08
202505,글로벌,약국,58.81
202505,글로벌,피부과,22.11
202505,글로벌,대학/종합병원,6.03
202505,글로벌,성형외과,5.75
202505,글로벌,치과,3.62
202505,글로벌,한의학과,2.21
202505,글로벌,안과,1.38
202505,글로벌,한약방,0.09
202506,글로벌,약국,57.94
202506,글로벌,피부과,22.42
202506,글로벌,대학/종합병원,6.31
202506,글로벌,성형외과,5.62
202506,글로벌,치과,3.98
202506,글로벌,한의학과,2.17
202506,글로벌,안과,1.48
202506,글로벌,한약방,0.09
202507,글로벌,약국,56.37
202507,글로벌,피부과,22.34
202507,글로벌,대학/종합병원,7.17
202507,글로벌,성형외과,5.55
202507,글로벌,치과,4.59
202507,글로벌,한의학과,2.39
202507,글로벌,안과,1.52
202507,글로벌,한약방,0.07
202508,글로벌,약국,58.21
202508,글로벌,피부과,22.61
202508,글로벌,대학/종합병원,6.42
202508,글로벌,성형외과,5.65
202508,글로벌,치과,3.7
202508,글로벌,한의학과,2.08
202508,글로벌,안과,1.27
202508,글로벌,한약방,0.07
202509,글로벌,약국,60.63
202509,글로벌,피부과,21.99
202509,글로벌,대학/종합병원,5.63
202509,글로벌,성형외과,5.62
202509,글로벌,치과,3.15
202509,글로벌,한의학과,1.9
202509,글로벌,안과,1.01
202509,글로벌,한약방,0.08
202510,글로벌,약국,63.12
202510,글로벌,피부과,19.78
202510,글로벌,대학/종합병원,5.64
202510,글로벌,성형외과,4.87
202510,글로벌,치과,3.42
202510,글로벌,한의학과,1.99
202510,글로벌,안과,1.09
202510,글로벌,한약방,0.1
202511,글로벌,약국,63.59
202511,글로벌,피부과,20.37
202511,글로벌,대학/종합병원,5.23
202511,글로벌,성형외과,4.89
202511,글로벌,치과,3.06
202511,글로벌,한의학과,1.83
202511,글로벌,안과,0.97
202511,글로벌,한약방,0.08
202512,글로벌,약국,61.31
202512,글로벌,피부과,21.3
202512,글로벌,대학/종합병원,5.45
202512,글로벌,성형외과,5.2
202512,글로벌,치과,3.62
202512,글로벌,한의학과,1.9
202512,글로벌,안과,1.16
202512,글로벌,한약방,0.06
