기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202501,글로벌,피부과,50.78
202501,글로벌,성형외과,27.3
202501,글로벌,약국,4.94
202501,글로벌,대학/종합병원,9.14
202501,글로벌,치과,4.26
202501,글로벌,안과,2.06
202501,글로벌,한의학과,1.5
202501,글로벌,한약방,0.01
202502,글로벌,피부과,48.98
202502,글로벌,성형외과,28.31
202502,글로벌,약국,4.82
202502,글로벌,대학/종합병원,9.27
202502,글로벌,치과,4.8
202502,글로벌,안과,2.18
202502,글로벌,한의학과,1.64
202502,글로벌,한약방,0.01
202503,글로벌,피부과,54.15
202503,글로벌,성형외과,25.69
202503,글로벌,약국,4.95
202503,글로벌,대학/종합병원,7.79
202503,글로벌,치과,4.05
202503,글로벌,안과,2.01
202503,글로벌,한의학과,1.36
202503,글로벌,한약방,0.01
202504,글로벌,피부과,53.93
202504,글로벌,성형외과,26.14
202504,글로벌,약국,5.66
202504,글로벌,대학/종합병원,6.99
202504,글로벌,치과,3.88
202504,글로벌,안과,2.07
202504,글로벌,한의학과,1.32
202504,글로벌,한약방,0.01
202505,글로벌,피부과,54.42
202505,글로벌,성형외과,23.02
202505,글로벌,약국,7.38
202505,글로벌,대학/종합병원,7.11
202505,글로벌,치과,4.36
202505,글로벌,안과,2.24
202505,글로벌,한의학과,1.46
202505,글로벌,한약방,0.01
202506,글로벌,피부과,54.47
202506,글로벌,성형외과,23.34
202506,글로벌,약국,7.68
202506,글로벌,대학/종합병원,7.11
202506,글로벌,치과,4.06
202506,글로벌,안과,1.92
202506,글로벌,한의학과,1.42
202506,글로벌,한약방,0.01
202507,글로벌,피부과,53.74
202507,글로벌,성형외과,22.65
202507,글로벌,약국,7.56
202507,글로벌,대학/종합병원,8.01
202507,글로벌,치과,4.59
202507,글로벌,안과,1.83
202507,글로벌,한의학과,1.61
202507,글로벌,한약방,0.01
202508,글로벌,피부과,55.02
202508,글로벌,성형외과,23.21
202508,글로벌,약국,7.6
202508,글로벌,대학/종합병원,7.05
202508,글로벌,치과,3.99
202508,글로벌,안과,1.76
202508,글로벌,한의학과,1.36
202508,글로벌,한약방,0.01
202509,글로벌,피부과,55.01
202509,글로벌,성형외과,23.39
202509,글로벌,약국,7.94
202509,글로벌,대학/종합병원,6.66
202509,글로벌,치과,3.89
202509,글로벌,안과,1.73
202509,글로벌,한의학과,1.38
202509,글로벌,한약방,0.01
202510,글로벌,피부과,54.31
202510,글로벌,성형외과,22.81
202510,글로벌,약국,8.82
202510,글로벌,대학/종합병원,6.8
202510,글로벌,치과,4.15
202510,글로벌,안과,1.76
202510,글로벌,한의학과,1.34
202510,글로벌,한약방,0.01
202511,글로벌,피부과,56.25
202511,글로벌,성형외과,22.01
202511,글로벌,약국,9.12
202511,글로벌,대학/종합병원,6.36
202511,글로벌,치과,3.56
202511,글로벌,안과,1.49
202511,글로벌,한의학과,1.21
202511,글로벌,한약방,0.01
202512,글로벌,피부과,57.54
202512,글로벌,성형외과,22.79
202512,글로벌,약국,8.1
202512,글로벌,대학/종합병원,5.5
202512,글로벌,치과,3.3
202512,글로벌,안과,1.61
202512,글로벌,한의학과,1.14
202512,글로벌,한약방,0.01
