기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,대만,약국,46.76
202501,대만,피부과,41.66
202501,대만,성형외과,7.81
202501,대만,안과,1.31
202501,대만,치과,0.83
202501,대만,대학/종합병원,1.22
202501,대만,한의학과,0.32
202501,대만,한약방,0.08
202502,대만,약국,47.75
202502,대만,피부과,41.15
202502,대만,성형외과,7.38
202502,대만,안과,1.37
202502,대만,치과,0.78
202502,대만,대학/종합병원,1.17
202502,대만,한의학과,0.35
202502,대만,한약방,0.05
202503,대만,약국,48.9
202503,대만,피부과,41.07
202503,대만,성형외과,7.14
202503,대만,안과,1.4
202503,대만,치과,0.54
202503,대만,대학/종합병원,0.6
202503,대만,한의학과,0.22
202503,대만,한약방,0.13
202504,대만,약국,51.8
202504,대만,피부과,38.61
202504,대만,성형외과,6.63
202504,대만,안과,1.11
202504,대만,치과,0.81
202504,대만,대학/종합병원,0.74
202504,대만,한의학과,0.23
202504,대만,한약방,0.07
202505,대만,약국,62.18
202505,대만,피부과,30.06
202505,대만,성형외과,5.44
202505,대만,안과,0.92
202505,대만,치과,0.58
202505,대만,대학/종합병원,0.52
202505,대만,한의학과,0.19
202505,대만,한약방,0.12
202506,대만,약국,62.56
202506,대만,피부과,30.63
202506,대만,성형외과,4.75
202506,대만,안과,0.6
202506,대만,치과,0.55
202506,대만,대학/종합병원,0.54
202506,대만,한의학과,0.3
202506,대만,한약방,0.06
202507,대만,약국,65.37
202507,대만,피부과,27.68
202507,대만,성형외과,4.57
202507,대만,안과,0.74
202507,대만,치과,0.59
202507,대만,대학/종합병원,0.65
202507,대만,한의학과,0.26
202507,대만,한약방,0.15
202508,대만,약국,68.39
202508,대만,피부과,25.45
202508,대만,성형외과,4.05
202508,대만,안과,0.71
202508,대만,치과,0.5
202508,대만,대학/종합병원,0.53
202508,대만,한의학과,0.28
202508,대만,한약방,0.08
202509,대만,약국,70.15
202509,대만,피부과,24.09
202509,대만,성형외과,4.34
202509,대만,안과,0.49
202509,대만,치과,0.32
202509,대만,대학/종합병원,0.27
202509,대만,한의학과,0.26
202509,대만,한약방,0.08
202510,대만,약국,71.74
202510,대만,피부과,23.22
202510,대만,성형외과,3.48
202510,대만,안과,0.53
202510,대만,치과,0.42
202510,대만,대학/종합병원,0.33
202510,대만,한의학과,0.2
202510,대만,한약방,0.07
202511,대만,약국,70.23
202511,대만,피부과,24.63
202511,대만,성형외과,3.78
202511,대만,안과,0.5
202511,대만,치과,0.37
202511,대만,대학/종합병원,0.25
202511,대만,한의학과,0.19
202511,대만,한약방,0.05
202512,대만,약국,65.79
202512,대만,피부과,28.55
202512,대만,성형외과,4.19
202512,대만,안과,0.65
202512,대만,치과,0.4
202512,대만,대학/종합병원,0.23
202512,대만,한의학과,0.15
202512,대만,한약방,0.04
