기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202501,대만,피부과,74.83
202501,대만,성형외과,18.56
202501,대만,약국,1.89
202501,대만,안과,3.15
202501,대만,치과,0.74
202501,대만,대학/종합병원,0.62
202501,대만,한의학과,0.21
202501,대만,한약방,0.0
202502,대만,피부과,75.05
202502,대만,성형외과,17.26
202502,대만,약국,2.35
202502,대만,안과,3.68
202502,대만,치과,0.37
202502,대만,대학/종합병원,0.97
202502,대만,한의학과,0.31
202502,대만,한약방,0.0
202503,대만,피부과,76.13
202503,대만,성형외과,16.51
202503,대만,약국,2.62
202503,대만,안과,3.71
202503,대만,치과,0.65
202503,대만,대학/종합병원,0.24
202503,대만,한의학과,0.14
202503,대만,한약방,0.01
202504,대만,피부과,76.45
202504,대만,성형외과,16.19
202504,대만,약국,3.31
202504,대만,안과,2.88
202504,대만,치과,0.69
202504,대만,대학/종합병원,0.31
202504,대만,한의학과,0.16
202504,대만,한약방,0.0
202505,대만,피부과,72.87
202505,대만,성형외과,15.58
202505,대만,약국,7.37
202505,대만,안과,2.48
202505,대만,치과,0.52
202505,대만,대학/종합병원,1.0
202505,대만,한의학과,0.16
202505,대만,한약방,0.0
202506,대만,피부과,73.34
202506,대만,성형외과,15.18
202506,대만,약국,7.67
202506,대만,안과,1.99
202506,대만,치과,1.28
202506,대만,대학/종합병원,0.3
202506,대만,한의학과,0.23
202506,대만,한약방,0.0
202507,대만,피부과,71.78
202507,대만,성형외과,15.12
202507,대만,약국,8.5
202507,대만,안과,2.42
202507,대만,치과,0.84
202507,대만,대학/종합병원,0.93
202507,대만,한의학과,0.39
202507,대만,한약방,0.01
202508,대만,피부과,72.24
202508,대만,성형외과,14.14
202508,대만,약국,9.08
202508,대만,안과,2.36
202508,대만,치과,1.27
202508,대만,대학/종합병원,0.59
202508,대만,한의학과,0.32
202508,대만,한약방,0.01
202509,대만,피부과,71.93
202509,대만,성형외과,14.39
202509,대만,약국,10.32
202509,대만,안과,1.89
202509,대만,치과,0.44
202509,대만,대학/종합병원,0.57
202509,대만,한의학과,0.44
202509,대만,한약방,0.0
202510,대만,피부과,72.2
202510,대만,성형외과,13.48
202510,대만,약국,10.95
202510,대만,안과,2.04
202510,대만,치과,0.91
202510,대만,대학/종합병원,0.19
202510,대만,한의학과,0.22
202510,대만,한약방,0.0
202511,대만,피부과,73.68
202511,대만,성형외과,13.89
202511,대만,약국,9.7
202511,대만,안과,1.85
202511,대만,치과,0.61
202511,대만,대학/종합병원,0.12
202511,대만,한의학과,0.14
202511,대만,한약방,0.0
202512,대만,피부과,75.46
202512,대만,성형외과,13.13
202512,대만,약국,8.52
202512,대만,안과,1.95
202512,대만,치과,0.58
202512,대만,대학/종합병원,0.25
202512,대만,한의학과,0.11
202512,대만,한약방,0.0
