기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,미국,약국,51.73
202501,미국,피부과,14.03
202501,미국,대학/종합병원,14.6
202501,미국,치과,8.25
202501,미국,성형외과,4.21
202501,미국,한의학과,4.71
202501,미국,안과,2.43
202501,미국,한약방,0.04
202502,미국,약국,48.37
202502,미국,피부과,13.63
202502,미국,대학/종합병원,16.24
202502,미국,치과,9.06
202502,미국,성형외과,4.71
202502,미국,한의학과,5.23
202502,미국,안과,2.73
202502,미국,한약방,0.04
202503,미국,약국,52.08
202503,미국,피부과,15.21
202503,미국,대학/종합병원,12.78
202503,미국,치과,7.97
202503,미국,성형외과,5.12
202503,미국,한의학과,4.37
202503,미국,안과,2.41
202503,미국,한약방,0.05
202504,미국,약국,53.59
202504,미국,피부과,15.72
202504,미국,대학/종합병원,11.6
202504,미국,치과,7.3
202504,미국,성형외과,5.24
202504,미국,한의학과,4.03
202504,미국,안과,2.46
202504,미국,한약방,0.06
202505,미국,약국,54.3
202505,미국,피부과,14.48
202505,미국,대학/종합병원,11.59
202505,미국,치과,7.62
202505,미국,성형외과,4.78
202505,미국,한의학과,4.42
202505,미국,안과,2.77
202505,미국,한약방,0.05
202506,미국,약국,54.34
202506,미국,피부과,14.26
202506,미국,대학/종합병원,11.6
202506,미국,치과,8.18
202506,미국,성형외과,4.54
202506,미국,한의학과,4.01
202506,미국,안과,3.0
202506,미국,한약방,0.07
202507,미국,약국,52.63
202507,미국,피부과,14.31
202507,미국,대학/종합병원,12.78
202507,미국,치과,9.09
202507,미국,성형외과,3.91
202507,미국,한의학과,4.33
202507,미국,안과,2.91
202507,미국,한약방,0.04
202508,미국,약국,52.33
202508,미국,피부과,14.51
202508,미국,대학/종합병원,13.54
202508,미국,치과,8.26
202508,미국,성형외과,4.25
202508,미국,한의학과,4.48
202508,미국,안과,2.59
202508,미국,한약방,0.05
202509,미국,약국,53.27
202509,미국,피부과,14.33
202509,미국,대학/종합병원,12.83
202509,미국,치과,7.78
202509,미국,성형외과,5.02
202509,미국,한의학과,4.33
202509,미국,안과,2.35
202509,미국,한약방,0.07
202510,미국,약국,55.65
202510,미국,피부과,14.3
202510,미국,대학/종합병원,11.07
202510,미국,치과,7.59
202510,미국,성형외과,4.81
202510,미국,한의학과,4.25
202510,미국,안과,2.28
202510,미국,한약방,0.06
202511,미국,약국,57.2
202511,미국,피부과,14.43
202511,미국,대학/종합병원,10.53
202511,미국,치과,7.05
202511,미국,성형외과,4.65
202511,미국,한의학과,3.99
202511,미국,안과,2.1
202511,미국,한약방,0.06
202512,미국,약국,53.7
202512,미국,피부과,14.85
202512,미국,대학/종합병원,11.93
202512,미국,치과,8.18
202512,미국,성형외과,4.73
202512,미국,한의학과,4.12
202512,미국,안과,2.45
202512,미국,한약방,0.03
