기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,일본,약국,45.92
202501,일본,피부과,38.75
202501,일본,성형외과,11.35
202501,일본,한의학과,1.49
202501,일본,치과,1.31
202501,일본,대학/종합병원,0.88
202501,일본,안과,0.24
202501,일본,한약방,0.07
202502,일본,약국,44.73
202502,일본,피부과,39.92
202502,일본,성형외과,11.62
202502,일본,한의학과,1.46
202502,일본,치과,1.24
202502,일본,대학/종합병원,0.7
202502,일본,안과,0.27
202502,일본,한약방,0.07
202503,일본,약국,47.25
202503,일본,피부과,39.64
202503,일본,성형외과,10.1
202503,일본,한의학과,1.07
202503,일본,치과,0.99
202503,일본,대학/종합병원,0.63
202503,일본,안과,0.28
202503,일본,한약방,0.04
202504,일본,약국,48.46
202504,일본,피부과,37.14
202504,일본,성형외과,10.79
202504,일본,한의학과,1.3
202504,일본,치과,1.29
202504,일본,대학/종합병원,0.67
202504,일본,안과,0.3
202504,일본,한약방,0.05
202505,일본,약국,52.48
202505,일본,피부과,34.92
202505,일본,성형외과,9.49
202505,일본,한의학과,1.25
202505,일본,치과,1.04
202505,일본,대학/종합병원,0.52
202505,일본,안과,0.23
202505,일본,한약방,0.07
202506,일본,약국,52.02
202506,일본,피부과,36.12
202506,일본,성형외과,9.02
202506,일본,한의학과,1.08
202506,일본,치과,1.05
202506,일본,대학/종합병원,0.46
202506,일본,안과,0.18
202506,일본,한약방,0.07
202507,일본,약국,51.16
202507,일본,피부과,36.59
202507,일본,성형외과,9.3
202507,일본,한의학과,1.1
202507,일본,치과,1.05
202507,일본,대학/종합병원,0.61
202507,일본,안과,0.15
202507,일본,한약방,0.05
202508,일본,약국,53.73
202508,일본,피부과,34.32
202508,일본,성형외과,8.91
202508,일본,한의학과,1.05
202508,일본,치과,1.07
202508,일본,대학/종합병원,0.64
202508,일본,안과,0.24
202508,일본,한약방,0.05
202509,일본,약국,56.02
202509,일본,피부과,33.36
202509,일본,성형외과,8.07
202509,일본,한의학과,1.04
202509,일본,치과,0.84
202509,일본,대학/종합병원,0.47
202509,일본,안과,0.17
202509,일본,한약방,0.04
202510,일본,약국,58.49
202510,일본,피부과,31.31
202510,일본,성형외과,7.39
202510,일본,한의학과,1.17
202510,일본,치과,0.91
202510,일본,대학/종합병원,0.51
202510,일본,안과,0.18
202510,일본,한약방,0.04
202511,일본,약국,59.96
202511,일본,피부과,30.66
202511,일본,성형외과,6.98
202511,일본,한의학과,1.01
202511,일본,치과,0.79
202511,일본,대학/종합병원,0.44
202511,일본,안과,0.14
202511,일본,한약방,0.04
202512,일본,약국,58.02
202512,일본,피부과,30.73
202512,일본,성형외과,8.27
202512,일본,한의학과,1.13
202512,일본,치과,1.08
202512,일본,대학/종합병원,0.57
202512,일본,안과,0.17
202512,일본,한약방,0.03
