기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,중국,약국,58.05
202501,중국,피부과,26.88
202501,중국,성형외과,6.58
202501,중국,치과,2.26
202501,중국,대학/종합병원,3.57
202501,중국,한의학과,1.8
202501,중국,안과,0.66
202501,중국,한약방,0.2
202502,중국,약국,56.29
202502,중국,피부과,27.17
202502,중국,성형외과,6.14
202502,중국,치과,3.12
202502,중국,대학/종합병원,4.23
202502,중국,한의학과,2.1
202502,중국,안과,0.79
202502,중국,한약방,0.15
202503,중국,약국,60.59
202503,중국,피부과,25.83
202503,중국,성형외과,5.3
202503,중국,치과,2.55
202503,중국,대학/종합병원,2.9
202503,중국,한의학과,1.71
202503,중국,안과,0.72
202503,중국,한약방,0.41
202504,중국,약국,57.81
202504,중국,피부과,27.83
202504,중국,성형외과,6.09
202504,중국,치과,2.41
202504,중국,대학/종합병원,3.23
202504,중국,한의학과,1.62
202504,중국,안과,0.73
202504,중국,한약방,0.28
202505,중국,약국,59.24
202505,중국,피부과,27.46
202505,중국,성형외과,5.16
202505,중국,치과,2.46
202505,중국,대학/종합병원,3.04
202505,중국,한의학과,1.8
202505,중국,안과,0.65
202505,중국,한약방,0.2
202506,중국,약국,58.41
202506,중국,피부과,28.55
202506,중국,성형외과,5.87
202506,중국,치과,2.34
202506,중국,대학/종합병원,2.52
202506,중국,한의학과,1.4
202506,중국,안과,0.61
202506,중국,한약방,0.29
202507,중국,약국,61.73
202507,중국,피부과,25.93
202507,중국,성형외과,5.71
202507,중국,치과,1.96
202507,중국,대학/종합병원,2.74
202507,중국,한의학과,1.13
202507,중국,안과,0.6
202507,중국,한약방,0.2
202508,중국,약국,61.96
202508,중국,피부과,25.84
202508,중국,성형외과,5.63
202508,중국,치과,1.9
202508,중국,대학/종합병원,2.91
202508,중국,한의학과,0.96
202508,중국,안과,0.6
202508,중국,한약방,0.2
202509,중국,약국,64.05
202509,중국,피부과,23.75
202509,중국,성형외과,5.66
202509,중국,치과,2.06
202509,중국,대학/종합병원,2.39
202509,중국,한의학과,1.32
202509,중국,안과,0.46
202509,중국,한약방,0.31
202510,중국,약국,68.39
202510,중국,피부과,19.79
202510,중국,성형외과,4.31
202510,중국,치과,2.56
202510,중국,대학/종합병원,2.75
202510,중국,한의학과,1.23
202510,중국,안과,0.49
202510,중국,한약방,0.48
202511,중국,약국,66.92
202511,중국,피부과,20.79
202511,중국,성형외과,4.56
202511,중국,치과,2.68
202511,중국,대학/종합병원,2.55
202511,중국,한의학과,1.43
202511,중국,안과,0.68
202511,중국,한약방,0.39
202512,중국,약국,65.36
202512,중국,피부과,23.35
202512,중국,성형외과,4.89
202512,중국,치과,2.27
202512,중국,대학/종합병원,2.26
202512,중국,한의학과,1.08
202512,중국,안과,0.51
202512,중국,한약방,0.29
