기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202501,중국,피부과,68.66
202501,중국,성형외과,21.92
202501,중국,약국,2.99
202501,중국,대학/종합병원,3.02
202501,중국,치과,1.66
202501,중국,한의학과,0.92
202501,중국,안과,0.83
202501,중국,한약방,0.0
202502,중국,피부과,70.97
202502,중국,성형외과,17.56
202502,중국,약국,3.54
202502,중국,대학/종합병원,4.73
202502,중국,치과,1.57
202502,중국,한의학과,0.95
202502,중국,안과,0.67
202502,중국,한약방,0.01
202503,중국,피부과,72.44
202503,중국,성형외과,18.89
202503,중국,약국,3.31
202503,중국,대학/종합병원,2.15
202503,중국,치과,1.68
202503,중국,한의학과,0.9
202503,중국,안과,0.61
202503,중국,한약방,0.01
202504,중국,피부과,71.16
202504,중국,성형외과,20.99
202504,중국,약국,2.94
202504,중국,대학/종합병원,2.28
202504,중국,치과,1.46
202504,중국,한의학과,0.63
202504,중국,안과,0.54
202504,중국,한약방,0.0
202505,중국,피부과,74.08
202505,중국,성형외과,16.68
202505,중국,약국,3.31
202505,중국,대학/종합병원,2.67
202505,중국,치과,1.52
202505,중국,한의학과,0.98
202505,중국,안과,0.75
202505,중국,한약방,0.01
202506,중국,피부과,73.65
202506,중국,성형외과,18.65
202506,중국,약국,3.5
202506,중국,대학/종합병원,1.75
202506,중국,치과,1.37
202506,중국,한의학과,0.69
202506,중국,안과,0.38
202506,중국,한약방,0.01
202507,중국,피부과,72.19
202507,중국,성형외과,18.9
202507,중국,약국,4.21
202507,중국,대학/종합병원,2.29
202507,중국,치과,1.09
202507,중국,한의학과,0.6
202507,중국,안과,0.71
202507,중국,한약방,0.0
202508,중국,피부과,72.13
202508,중국,성형외과,18.09
202508,중국,약국,4.31
202508,중국,대학/종합병원,2.38
202508,중국,치과,1.87
202508,중국,한의학과,0.69
202508,중국,안과,0.53
202508,중국,한약방,0.0
202509,중국,피부과,71.14
202509,중국,성형외과,20.44
202509,중국,약국,3.92
202509,중국,대학/종합병원,2.11
202509,중국,치과,1.39
202509,중국,한의학과,0.73
202509,중국,안과,0.27
202509,중국,한약방,0.01
202510,중국,피부과,71.25
202510,중국,성형외과,18.47
202510,중국,약국,5.19
202510,중국,대학/종합병원,2.6
202510,중국,치과,1.47
202510,중국,한의학과,0.69
202510,중국,안과,0.33
202510,중국,한약방,0.01
202511,중국,피부과,71.97
202511,중국,성형외과,18.59
202511,중국,약국,4.62
202511,중국,대학/종합병원,1.98
202511,중국,치과,1.61
202511,중국,한의학과,0.58
202511,중국,안과,0.65
202511,중국,한약방,0.01
202512,중국,피부과,73.62
202512,중국,성형외과,18.62
202512,중국,약국,4.39
202512,중국,대학/종합병원,1.41
202512,중국,치과,1.17
202512,중국,한의학과,0.47
202512,중국,안과,0.31
202512,중국,한약방,0.01
