기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,태국,약국,52.18
202501,태국,피부과,34.27
202501,태국,성형외과,8.82
202501,태국,대학/종합병원,2.44
202501,태국,치과,1.65
202501,태국,한의학과,0.34
202501,태국,안과,0.27
202501,태국,한약방,0.03
202502,태국,약국,49.62
202502,태국,피부과,33.87
202502,태국,성형외과,10.63
202502,태국,대학/종합병원,3.12
202502,태국,치과,1.76
202502,태국,한의학과,0.56
202502,태국,안과,0.3
202502,태국,한약방,0.13
202503,태국,약국,47.78
202503,태국,피부과,37.74
202503,태국,성형외과,8.62
202503,태국,대학/종합병원,3.31
202503,태국,치과,1.37
202503,태국,한의학과,0.65
202503,태국,안과,0.34
202503,태국,한약방,0.19
202504,태국,약국,49.09
202504,태국,피부과,38.39
202504,태국,성형외과,7.7
202504,태국,대학/종합병원,3.05
202504,태국,치과,1.05
202504,태국,한의학과,0.35
202504,태국,안과,0.31
202504,태국,한약방,0.05
202505,태국,약국,54.37
202505,태국,피부과,33.81
202505,태국,성형외과,6.93
202505,태국,대학/종합병원,2.73
202505,태국,치과,1.26
202505,태국,한의학과,0.43
202505,태국,안과,0.37
202505,태국,한약방,0.11
202506,태국,약국,55.4
202506,태국,피부과,31.53
202506,태국,성형외과,7.78
202506,태국,대학/종합병원,2.58
202506,태국,치과,1.53
202506,태국,한의학과,0.49
202506,태국,안과,0.56
202506,태국,한약방,0.12
202507,태국,약국,56.33
202507,태국,피부과,30.74
202507,태국,성형외과,5.7
202507,태국,대학/종합병원,4.02
202507,태국,치과,2.06
202507,태국,한의학과,0.64
202507,태국,안과,0.5
202507,태국,한약방,0.02
202508,태국,약국,55.36
202508,태국,피부과,30.25
202508,태국,성형외과,7.08
202508,태국,대학/종합병원,3.48
202508,태국,치과,2.7
202508,태국,한의학과,0.6
202508,태국,안과,0.44
202508,태국,한약방,0.09
202509,태국,약국,54.32
202509,태국,피부과,33.52
202509,태국,성형외과,5.82
202509,태국,대학/종합병원,3.48
202509,태국,치과,1.77
202509,태국,한의학과,0.68
202509,태국,안과,0.28
202509,태국,한약방,0.11
202510,태국,약국,55.07
202510,태국,피부과,35.66
202510,태국,성형외과,5.42
202510,태국,대학/종합병원,2.26
202510,태국,치과,0.8
202510,태국,한의학과,0.41
202510,태국,안과,0.27
202510,태국,한약방,0.1
202511,태국,약국,56.73
202511,태국,피부과,34.0
202511,태국,성형외과,5.71
202511,태국,대학/종합병원,2.05
202511,태국,치과,0.82
202511,태국,한의학과,0.39
202511,태국,안과,0.24
202511,태국,한약방,0.06
202512,태국,약국,59.61
202512,태국,피부과,32.27
202512,태국,성형외과,5.12
202512,태국,대학/종합병원,1.51
202512,태국,치과,0.93
202512,태국,한의학과,0.29
202512,태국,안과,0.24
202512,태국,한약방,0.03
