기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202501,홍콩,약국,46.7
202501,홍콩,피부과,34.16
202501,홍콩,성형외과,5.24
202501,홍콩,치과,5.05
202501,홍콩,대학/종합병원,5.16
202501,홍콩,한의학과,2.37
202501,홍콩,안과,1.32
202502,홍콩,약국,42.46
202502,홍콩,피부과,36.69
202502,홍콩,성형외과,6.34
202502,홍콩,치과,5.33
202502,홍콩,대학/종합병원,5.24
202502,홍콩,한의학과,2.61
202502,홍콩,안과,1.27
202502,홍콩,한약방,0.05
202503,홍콩,약국,43.44
202503,홍콩,피부과,39.19
202503,홍콩,성형외과,6.39
202503,홍콩,치과,3.61
202503,홍콩,대학/종합병원,4.09
202503,홍콩,한의학과,2.21
202503,홍콩,안과,1.02
202503,홍콩,한약방,0.05
202504,홍콩,약국,47.63
202504,홍콩,피부과,36.44
202504,홍콩,성형외과,5.28
202504,홍콩,치과,3.61
202504,홍콩,대학/종합병원,4.07
202504,홍콩,한의학과,1.74
202504,홍콩,안과,1.14
202504,홍콩,한약방,0.09
202505,홍콩,약국,53.14
202505,홍콩,피부과,32.32
202505,홍콩,성형외과,4.76
202505,홍콩,치과,3.15
202505,홍콩,대학/종합병원,3.59
202505,홍콩,한의학과,2.05
202505,홍콩,안과,0.97
202505,홍콩,한약방,0.02
202506,홍콩,약국,53.4
202506,홍콩,피부과,32.12
202506,홍콩,성형외과,4.33
202506,홍콩,치과,3.18
202506,홍콩,대학/종합병원,3.74
202506,홍콩,한의학과,1.97
202506,홍콩,안과,1.21
202506,홍콩,한약방,0.05
202507,홍콩,약국,54.72
202507,홍콩,피부과,26.69
202507,홍콩,성형외과,4.01
202507,홍콩,치과,5.47
202507,홍콩,대학/종합병원,5.28
202507,홍콩,한의학과,2.35
202507,홍콩,안과,1.45
202507,홍콩,한약방,0.04
202508,홍콩,약국,55.73
202508,홍콩,피부과,28.46
202508,홍콩,성형외과,4.08
202508,홍콩,치과,4.05
202508,홍콩,대학/종합병원,4.43
202508,홍콩,한의학과,2.16
202508,홍콩,안과,1.05
202508,홍콩,한약방,0.04
202509,홍콩,약국,56.02
202509,홍콩,피부과,29.76
202509,홍콩,성형외과,4.59
202509,홍콩,치과,3.15
202509,홍콩,대학/종합병원,3.88
202509,홍콩,한의학과,1.83
202509,홍콩,안과,0.77
202509,홍콩,한약방,0.01
202510,홍콩,약국,57.99
202510,홍콩,피부과,28.63
202510,홍콩,성형외과,4.49
202510,홍콩,치과,2.93
202510,홍콩,대학/종합병원,3.52
202510,홍콩,한의학과,1.71
202510,홍콩,안과,0.72
202510,홍콩,한약방,0.02
202511,홍콩,약국,58.48
202511,홍콩,피부과,30.13
202511,홍콩,성형외과,4.38
202511,홍콩,치과,2.53
202511,홍콩,대학/종합병원,2.38
202511,홍콩,한의학과,1.48
202511,홍콩,안과,0.55
202511,홍콩,한약방,0.06
202512,홍콩,약국,58.42
202512,홍콩,피부과,28.67
202512,홍콩,성형외과,4.15
202512,홍콩,치과,3.44
202512,홍콩,대학/종합병원,3.27
202512,홍콩,한의학과,1.36
202512,홍콩,안과,0.65
202512,홍콩,한약방,0.04
