국가명,기준연월,의료 소비액,의료 소비건수,전체 외국인 대비 소비액 비율(%),전체 외국인 대비 소비건수 비율(%)
대만,202001,332965,1224,0.87,1.21
대만,202002,245548,1268,0.87,1.6
대만,202003,22828,140,0.27,0.53
대만,202004,17723,149,0.29,0.62
대만,202005,15147,164,0.24,0.56
대만,202006,26912,240,0.37,0.7
대만,202007,26798,226,0.32,0.6
대만,202008,24078,198,0.34,0.58
대만,202009,38837,183,0.52,0.53
대만,202010,15826,167,0.21,0.48
대만,202011,16196,206,0.19,0.56
대만,202012,41248,321,0.46,0.86
대만,202101,43608,261,0.57,0.79
대만,202102,21597,167,0.33,0.54
대만,202103,23606,158,0.28,0.41
대만,202104,25720,211,0.31,0.53
대만,202105,33254,217,0.39,0.53
대만,202106,27722,267,0.26,0.54
대만,202107,47818,317,0.42,0.56
대만,202108,49703,380,0.48,0.75
대만,202109,30106,349,0.32,0.78
대만,202110,36529,302,0.33,0.61
대만,202111,57358,361,0.51,0.67
대만,202112,67330,398,0.65,0.77
대만,202201,59352,313,0.7,0.79
대만,202202,30197,271,0.32,0.68
대만,202203,58494,429,0.6,0.87
대만,202204,50219,342,0.34,0.58
대만,202205,54528,489,0.29,0.66
대만,202206,105913,619,0.46,0.74
대만,202207,148086,652,0.58,0.66
대만,202208,148369,696,0.6,0.76
대만,202209,253614,799,0.93,0.88
대만,202210,210504,932,0.6,0.86
대만,202211,285515,1076,0.85,1.01
대만,202212,275110,1098,0.84,1.03
대만,202301,341680,1256,1.29,1.51
대만,202302,412061,1442,1.45,1.88
대만,202303,562475,1922,1.41,1.72
대만,202304,697427,2507,1.51,1.86
대만,202305,683689,2299,1.32,1.55
대만,202306,1051227,3131,1.97,2.01
대만,202307,902619,2791,1.83,1.85
대만,202308,860113,2933,1.81,2.13
대만,202309,1476975,3693,2.76,2.45
대만,202310,1399089,3903,2.17,2.15
대만,202311,1933243,3808,2.97,2.17
대만,202312,2178502,4123,3.91,2.72
대만,202401,1993357,3916,3.62,2.9
