국가명,기준연월,진료과목,소비액 비율(%),소비건수 비율(%)
대만,202001,대학/종합병원,10.71,7.43
대만,202001,성형외과,63.72,7.27
대만,202001,안과,0.02,0.25
대만,202001,약국,17.49,77.78
대만,202001,치과,2.38,2.45
대만,202001,피부과,5.2,3.51
대만,202001,한약방,0.09,0.41
대만,202001,한의학과,0.39,0.9
대만,202002,대학/종합병원,6.41,3.63
대만,202002,성형외과,54.11,4.65
대만,202002,안과,0.46,0.47
대만,202002,약국,32.74,87.7
대만,202002,치과,1.89,0.71
대만,202002,피부과,2.31,1.42
대만,202002,한약방,0.11,0.55
대만,202002,한의학과,1.98,0.87
대만,202003,대학/종합병원,20.47,6.43
대만,202003,성형외과,24.33,5.71
대만,202003,안과,0.1,1.43
대만,202003,약국,9.42,70.0
대만,202003,치과,28.72,10.71
대만,202003,피부과,16.9,5.0
대만,202003,한약방,0.05,0.71
대만,202004,대학/종합병원,11.57,7.38
대만,202004,성형외과,0.23,2.01
대만,202004,안과,14.78,2.01
대만,202004,약국,8.29,52.35
대만,202004,치과,13.29,9.4
대만,202004,피부과,35.72,12.08
대만,202004,한의학과,16.13,14.77
대만,202005,대학/종합병원,14.97,9.15
대만,202005,성형외과,12.06,1.83
대만,202005,안과,0.74,2.44
대만,202005,약국,7.53,53.66
대만,202005,치과,29.51,15.85
대만,202005,피부과,31.67,10.98
대만,202005,한의학과,3.53,6.1
대만,202006,대학/종합병원,12.61,7.08
대만,202006,성형외과,13.36,5.0
대만,202006,안과,2.3,1.25
대만,202006,약국,8.37,61.25
대만,202006,치과,19.91,12.5
대만,202006,피부과,41.31,10.83
대만,202006,한의학과,2.14,2.08
대만,202007,대학/종합병원,15.13,9.29
대만,202007,성형외과,3.15,3.54
대만,202007,안과,0.32,1.77
대만,202007,약국,9.96,56.64
대만,202007,치과,20.67,10.62
대만,202007,피부과,46.33,11.5
대만,202007,한약방,0.17,0.44
대만,202007,한의학과,4.26,6.19
대만,202008,대학/종합병원,7.97,8.08
대만,202008,성형외과,24.8,4.55
대만,202008,안과,0.08,0.51
대만,202008,약국,10.13,56.57
대만,202008,치과,25.38,14.65
대만,202008,피부과,23.48,10.1
대만,202008,한의학과,8.14,5.56
대만,202009,대학/종합병원,23.04,12.02
대만,202009,성형외과,20.57,4.92
대만,202009,안과,20.76,2.73
대만,202009,약국,6.06,56.83
대만,202009,치과,1.85,4.37
대만,202009,피부과,20.43,16.39
대만,202009,한약방,0.03,0.55
대만,202009,한의학과,7.26,2.19
대만,202010,대학/종합병원,15.6,7.78
대만,202010,성형외과,12.54,5.99
대만,202010,안과,0.21,2.4
대만,202010,약국,12.9,59.88
대만,202010,치과,27.37,9.58
대만,202010,피부과,17.75,12.57
대만,202010,한약방,0.06,0.6
대만,202010,한의학과,13.57,1.2
대만,202011,대학/종합병원,11.55,6.31
대만,202011,성형외과,22.31,3.88
대만,202011,안과,0.63,1.94
대만,202011,약국,11.56,56.31
대만,202011,치과,33.53,16.99
대만,202011,피부과,18.27,8.25
대만,202011,한약방,0.05,0.49
대만,202011,한의학과,2.11,5.83
대만,202012,대학/종합병원,48.7,48.91
대만,202012,성형외과,6.37,3.12
대만,202012,안과,0.28,0.93
대만,202012,약국,5.34,30.53
대만,202012,치과,25.52,8.72
대만,202012,피부과,13.26,6.85
대만,202012,한의학과,0.54,0.93
대만,202101,대학/종합병원,28.71,50.19
대만,202101,성형외과,22.36,4.21
대만,202101,약국,4.21,28.35
대만,202101,치과,8.26,6.9
대만,202101,피부과,30.69,9.58
대만,202101,한의학과,5.77,0.77
대만,202102,대학/종합병원,24.37,34.13
대만,202102,성형외과,1.92,2.4
대만,202102,약국,5.42,40.12
대만,202102,치과,33.67,10.18
대만,202102,피부과,23.75,7.78
대만,202102,한의학과,10.86,5.39
대만,202103,대학/종합병원,16.03,26.58
대만,202103,성형외과,7.25,3.16
대만,202103,안과,1.86,0.63
대만,202103,약국,6.54,44.94
대만,202103,치과,18.1,8.23
대만,202103,피부과,45.75,12.66
대만,202103,한의학과,4.46,3.8
대만,202104,대학/종합병원,41.95,30.81
대만,202104,성형외과,3.88,4.27
대만,202104,안과,0.17,0.95
대만,202104,약국,8.89,45.5
대만,202104,치과,8.43,7.11
대만,202104,피부과,23.7,8.06
대만,202104,한의학과,12.98,3.32
대만,202105,대학/종합병원,53.66,35.48
대만,202105,성형외과,0.84,1.84
대만,202105,약국,7.02,41.94
대만,202105,치과,8.85,5.07
대만,202105,피부과,22.54,10.6
대만,202105,한약방,0.14,0.46
대만,202105,한의학과,6.94,4.61
대만,202106,대학/종합병원,48.63,41.2
대만,202106,성형외과,8.27,1.87
대만,202106,안과,0.14,1.87
대만,202106,약국,7.1,37.45
대만,202106,치과,14.22,7.49
대만,202106,피부과,19.27,8.24
대만,202106,한의학과,2.37,1.87
대만,202107,대학/종합병원,30.94,40.38
대만,202107,성형외과,1.24,1.58
대만,202107,안과,4.68,1.58
대만,202107,약국,4.51,34.38
대만,202107,치과,18.49,7.26
대만,202107,피부과,21.2,11.04
대만,202107,한약방,0.52,0.32
대만,202107,한의학과,18.42,3.47
대만,202108,대학/종합병원,33.18,41.58
대만,202108,성형외과,1.19,1.32
대만,202108,안과,0.39,1.32
대만,202108,약국,6.78,39.47
대만,202108,치과,29.91,5.0
대만,202108,피부과,20.41,8.42
대만,202108,한의학과,8.13,2.89
대만,202109,대학/종합병원,26.85,30.37
대만,202109,성형외과,17.27,2.58
대만,202109,안과,4.3,1.15
대만,202109,약국,12.31,47.85
대만,202109,치과,14.79,7.16
대만,202109,피부과,19.93,6.02
대만,202109,한의학과,4.55,4.87
대만,202110,대학/종합병원,30.25,29.8
대만,202110,성형외과,6.8,1.32
대만,202110,안과,0.55,1.99
대만,202110,약국,6.14,46.36
대만,202110,치과,8.45,5.63
대만,202110,피부과,35.91,9.27
대만,202110,한의학과,11.9,5.63
대만,202111,대학/종합병원,24.18,37.95
대만,202111,성형외과,30.52,3.6
대만,202111,안과,0.01,0.28
대만,202111,약국,3.44,35.73
대만,202111,치과,13.24,8.31
대만,202111,피부과,23.25,10.25
대만,202111,한의학과,5.36,3.88
대만,202112,대학/종합병원,66.63,39.95
대만,202112,성형외과,11.31,2.51
대만,202112,안과,0.12,1.51
대만,202112,약국,4.21,40.95
대만,202112,치과,5.5,5.28
대만,202112,피부과,11.51,7.04
대만,202112,한의학과,0.73,2.76
대만,202201,대학/종합병원,24.28,37.06
대만,202201,성형외과,8.9,1.92
대만,202201,안과,3.82,1.28
대만,202201,약국,5.96,41.85
대만,202201,치과,6.63,7.03
대만,202201,피부과,41.2,6.71
대만,202201,한의학과,9.21,4.15
대만,202202,대학/종합병원,19.3,21.77
대만,202202,성형외과,6.39,2.95
대만,202202,안과,14.26,1.48
대만,202202,약국,9.89,51.66
대만,202202,치과,26.47,10.7
대만,202202,피부과,22.7,8.86
대만,202202,한약방,0.12,0.74
대만,202202,한의학과,0.86,1.85
대만,202203,대학/종합병원,40.96,21.21
대만,202203,성형외과,1.39,1.4
대만,202203,약국,7.3,58.28
대만,202203,치과,14.85,5.83
대만,202203,피부과,31.62,9.56
대만,202203,한약방,0.6,0.23
대만,202203,한의학과,3.28,3.5
대만,202204,대학/종합병원,32.61,19.01
대만,202204,성형외과,13.0,1.46
대만,202204,안과,0.37,1.46
대만,202204,약국,9.9,55.85
대만,202204,치과,9.63,4.97
대만,202204,피부과,29.19,13.16
대만,202204,한약방,0.04,0.29
대만,202204,한의학과,5.27,3.8
대만,202205,대학/종합병원,23.27,24.74
대만,202205,성형외과,10.41,1.84
대만,202205,안과,1.62,2.25
대만,202205,약국,14.86,50.51
대만,202205,치과,12.1,6.95
대만,202205,피부과,36.09,10.84
대만,202205,한약방,0.02,0.2
대만,202205,한의학과,1.64,2.66
대만,202206,대학/종합병원,27.41,32.63
대만,202206,성형외과,31.21,2.42
대만,202206,안과,3.13,2.26
대만,202206,약국,5.82,46.53
대만,202206,치과,17.84,6.3
대만,202206,피부과,13.32,8.4
대만,202206,한의학과,1.27,1.45
대만,202207,대학/종합병원,9.09,23.16
대만,202207,성형외과,55.18,3.37
대만,202207,안과,0.15,1.38
대만,202207,약국,5.5,55.83
대만,202207,치과,5.55,5.21
대만,202207,피부과,21.7,9.05
대만,202207,한약방,0.02,0.31
대만,202207,한의학과,2.81,1.69
대만,202208,대학/종합병원,6.22,13.36
대만,202208,성형외과,59.94,7.47
대만,202208,안과,4.34,2.16
대만,202208,약국,5.83,62.07
대만,202208,치과,8.85,4.17
대만,202208,피부과,12.73,9.63
