기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202201,글로벌,약국,44.37
202201,글로벌,대학/종합병원,29.33
202201,글로벌,피부과,7.85
202201,글로벌,성형외과,2.58
202201,글로벌,치과,8.93
202201,글로벌,한의학과,5.06
202201,글로벌,안과,1.84
202201,글로벌,한약방,0.03
202202,글로벌,약국,47.45
202202,글로벌,대학/종합병원,27.84
202202,글로벌,피부과,7.26
202202,글로벌,성형외과,2.93
202202,글로벌,치과,7.88
202202,글로벌,한의학과,4.88
202202,글로벌,안과,1.67
202202,글로벌,한약방,0.09
202203,글로벌,약국,51.52
202203,글로벌,대학/종합병원,23.51
202203,글로벌,피부과,7.49
202203,글로벌,성형외과,3.37
202203,글로벌,치과,7.61
202203,글로벌,한의학과,4.56
202203,글로벌,안과,1.79
202203,글로벌,한약방,0.16
202204,글로벌,약국,47.57
202204,글로벌,대학/종합병원,23.77
202204,글로벌,피부과,8.79
202204,글로벌,성형외과,4.26
202204,글로벌,치과,8.69
202204,글로벌,한의학과,4.65
202204,글로벌,안과,2.16
202204,글로벌,한약방,0.11
202205,글로벌,약국,47.82
202205,글로벌,대학/종합병원,23.46
202205,글로벌,피부과,9.23
202205,글로벌,성형외과,4.41
202205,글로벌,치과,8.48
202205,글로벌,한의학과,4.32
202205,글로벌,안과,2.2
202205,글로벌,한약방,0.08
202206,글로벌,약국,46.81
202206,글로벌,대학/종합병원,23.25
202206,글로벌,피부과,9.8
202206,글로벌,성형외과,4.75
202206,글로벌,치과,8.66
202206,글로벌,한의학과,4.22
202206,글로벌,안과,2.44
202206,글로벌,한약방,0.08
202207,글로벌,약국,48.95
202207,글로벌,대학/종합병원,22.41
202207,글로벌,피부과,9.42
202207,글로벌,성형외과,4.71
202207,글로벌,치과,8.07
202207,글로벌,한의학과,4.0
202207,글로벌,안과,2.34
202207,글로벌,한약방,0.1
202208,글로벌,약국,49.76
202208,글로벌,대학/종합병원,21.98
202208,글로벌,피부과,9.41
202208,글로벌,성형외과,5.13
202208,글로벌,치과,7.53
202208,글로벌,한의학과,3.89
202208,글로벌,안과,2.21
202208,글로벌,한약방,0.08
202209,글로벌,약국,51.12
202209,글로벌,대학/종합병원,19.35
202209,글로벌,피부과,9.77
202209,글로벌,성형외과,6.28
202209,글로벌,치과,7.44
202209,글로벌,한의학과,3.89
202209,글로벌,안과,2.03
202209,글로벌,한약방,0.12
202210,글로벌,약국,52.41
202210,글로벌,대학/종합병원,16.18
202210,글로벌,피부과,10.6
202210,글로벌,성형외과,7.21
202210,글로벌,치과,7.26
202210,글로벌,한의학과,4.29
202210,글로벌,안과,1.92
202210,글로벌,한약방,0.14
202211,글로벌,약국,51.28
202211,글로벌,대학/종합병원,17.61
202211,글로벌,피부과,10.43
202211,글로벌,성형외과,7.32
202211,글로벌,치과,7.12
202211,글로벌,한의학과,4.15
202211,글로벌,안과,1.95
202211,글로벌,한약방,0.14
202212,글로벌,약국,54.0
202212,글로벌,대학/종합병원,15.37
202212,글로벌,피부과,10.86
202212,글로벌,성형외과,7.14
202212,글로벌,치과,6.89
202212,글로벌,한의학과,3.69
202212,글로벌,안과,1.9
202212,글로벌,한약방,0.16
