기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202401,글로벌,피부과,37.66
202401,글로벌,성형외과,33.74
202401,글로벌,대학/종합병원,14.99
202401,글로벌,약국,4.54
202401,글로벌,치과,5.34
202401,글로벌,안과,1.59
202401,글로벌,한의학과,2.12
202401,글로벌,한약방,0.02
202402,글로벌,피부과,39.02
202402,글로벌,성형외과,34.4
202402,글로벌,대학/종합병원,13.01
202402,글로벌,약국,4.53
202402,글로벌,치과,5.06
202402,글로벌,안과,1.88
202402,글로벌,한의학과,2.08
202402,글로벌,한약방,0.02
202403,글로벌,피부과,42.75
202403,글로벌,성형외과,33.47
202403,글로벌,대학/종합병원,10.82
202403,글로벌,약국,4.13
202403,글로벌,치과,5.03
202403,글로벌,안과,1.87
202403,글로벌,한의학과,1.91
202403,글로벌,한약방,0.02
202404,글로벌,피부과,44.45
202404,글로벌,성형외과,32.0
202404,글로벌,대학/종합병원,9.87
202404,글로벌,약국,4.41
202404,글로벌,치과,5.23
202404,글로벌,안과,2.05
202404,글로벌,한의학과,1.97
202404,글로벌,한약방,0.01
202405,글로벌,피부과,47.03
202405,글로벌,성형외과,29.45
202405,글로벌,대학/종합병원,9.69
202405,글로벌,약국,4.54
202405,글로벌,치과,5.12
202405,글로벌,안과,2.09
202405,글로벌,한의학과,2.06
202405,글로벌,한약방,0.03
202406,글로벌,피부과,48.66
202406,글로벌,성형외과,28.28
202406,글로벌,대학/종합병원,9.38
202406,글로벌,약국,4.49
202406,글로벌,치과,5.02
202406,글로벌,안과,2.14
202406,글로벌,한의학과,2.03
202406,글로벌,한약방,0.01
202407,글로벌,피부과,46.92
202407,글로벌,성형외과,27.87
202407,글로벌,대학/종합병원,10.77
202407,글로벌,약국,4.87
202407,글로벌,치과,5.2
202407,글로벌,안과,2.04
202407,글로벌,한의학과,2.31
202407,글로벌,한약방,0.02
202408,글로벌,피부과,50.75
202408,글로벌,성형외과,27.51
202408,글로벌,대학/종합병원,8.26
202408,글로벌,약국,4.99
202408,글로벌,치과,4.68
202408,글로벌,안과,1.93
202408,글로벌,한의학과,1.86
202408,글로벌,한약방,0.02
202409,글로벌,피부과,52.21
202409,글로벌,성형외과,27.47
202409,글로벌,대학/종합병원,7.59
202409,글로벌,약국,4.63
202409,글로벌,치과,4.35
202409,글로벌,안과,2.08
202409,글로벌,한의학과,1.66
202409,글로벌,한약방,0.01
202410,글로벌,피부과,50.03
202410,글로벌,성형외과,27.99
202410,글로벌,대학/종합병원,8.3
202410,글로벌,약국,5.04
202410,글로벌,치과,4.66
202410,글로벌,안과,2.19
202410,글로벌,한의학과,1.78
202410,글로벌,한약방,0.01
202411,글로벌,피부과,51.83
202411,글로벌,성형외과,26.67
202411,글로벌,대학/종합병원,7.99
202411,글로벌,약국,5.14
202411,글로벌,치과,4.62
202411,글로벌,안과,2.16
202411,글로벌,한의학과,1.59
202411,글로벌,한약방,0.01
202412,글로벌,피부과,52.03
202412,글로벌,성형외과,26.86
202412,글로벌,대학/종합병원,7.76
202412,글로벌,약국,4.84
202412,글로벌,치과,4.57
202412,글로벌,안과,2.27
202412,글로벌,한의학과,1.67
202412,글로벌,한약방,0.01
