기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
201801,대만,성형외과,45.69
201801,대만,대학/종합병원,32.05
201801,대만,약국,5.32
201801,대만,피부과,4.8
201801,대만,치과,9.52
201801,대만,한의학과,2.56
201801,대만,안과,0.07
201802,대만,성형외과,50.5
201802,대만,대학/종합병원,31.54
201802,대만,약국,4.68
201802,대만,피부과,5.74
201802,대만,치과,6.04
201802,대만,한의학과,1.37
201802,대만,한약방,0.06
201802,대만,안과,0.06
201803,대만,성형외과,27.16
201803,대만,대학/종합병원,34.71
201803,대만,약국,6.58
201803,대만,피부과,16.46
201803,대만,치과,13.0
201803,대만,한의학과,1.95
201803,대만,한약방,0.01
201803,대만,안과,0.14
201804,대만,성형외과,40.76
201804,대만,대학/종합병원,46.08
201804,대만,약국,4.29
201804,대만,피부과,3.74
201804,대만,치과,4.42
201804,대만,한의학과,0.41
201804,대만,한약방,0.04
201804,대만,안과,0.25
201805,대만,성형외과,47.8
201805,대만,대학/종합병원,24.14
201805,대만,약국,15.73
201805,대만,피부과,8.02
201805,대만,치과,0.82
201805,대만,한의학과,3.41
201805,대만,한약방,0.07
201805,대만,안과,0.03
201806,대만,성형외과,30.94
201806,대만,대학/종합병원,23.86
201806,대만,약국,14.18
201806,대만,피부과,12.97
201806,대만,치과,16.85
201806,대만,한의학과,0.88
201806,대만,안과,0.33
201807,대만,성형외과,62.56
201807,대만,대학/종합병원,16.59
201807,대만,약국,8.73
201807,대만,피부과,6.99
201807,대만,치과,4.63
201807,대만,한의학과,0.42
201807,대만,안과,0.08
201808,대만,성형외과,49.17
201808,대만,대학/종합병원,15.74
201808,대만,약국,8.34
201808,대만,피부과,16.58
201808,대만,치과,5.32
201808,대만,한의학과,4.74
201808,대만,한약방,0.02
201808,대만,안과,0.07
201809,대만,성형외과,69.92
201809,대만,대학/종합병원,14.51
201809,대만,약국,4.47
201809,대만,피부과,9.17
201809,대만,치과,1.35
201809,대만,한의학과,0.48
201809,대만,한약방,0.11
201810,대만,성형외과,39.25
201810,대만,대학/종합병원,19.36
201810,대만,약국,10.3
201810,대만,피부과,20.06
201810,대만,치과,10.33
201810,대만,한의학과,0.12
201810,대만,한약방,0.45
201810,대만,안과,0.12
201811,대만,성형외과,59.6
201811,대만,대학/종합병원,11.96
201811,대만,약국,7.77
201811,대만,피부과,6.61
201811,대만,치과,8.08
201811,대만,한의학과,1.63
201811,대만,한약방,0.04
201811,대만,안과,4.32
201812,대만,성형외과,61.2
201812,대만,대학/종합병원,19.43
201812,대만,약국,7.69
201812,대만,피부과,6.38
201812,대만,치과,4.21
201812,대만,한의학과,1.06
201812,대만,한약방,0.02
201812,대만,안과,0.02
