기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202201,대만,약국,41.85
202201,대만,피부과,6.71
202201,대만,성형외과,1.92
202201,대만,대학/종합병원,37.06
202201,대만,치과,7.03
202201,대만,한의학과,4.15
202201,대만,안과,1.28
202202,대만,약국,51.66
202202,대만,피부과,8.86
202202,대만,성형외과,2.95
202202,대만,대학/종합병원,21.77
202202,대만,치과,10.7
202202,대만,한의학과,1.85
202202,대만,안과,1.48
202202,대만,한약방,0.74
202203,대만,약국,58.28
202203,대만,피부과,9.56
202203,대만,성형외과,1.4
202203,대만,대학/종합병원,21.21
202203,대만,치과,5.83
202203,대만,한의학과,3.5
202203,대만,한약방,0.23
202204,대만,약국,55.85
202204,대만,피부과,13.16
202204,대만,성형외과,1.46
202204,대만,대학/종합병원,19.01
202204,대만,치과,4.97
202204,대만,한의학과,3.8
202204,대만,안과,1.46
202204,대만,한약방,0.29
202205,대만,약국,50.51
202205,대만,피부과,10.84
202205,대만,성형외과,1.84
202205,대만,대학/종합병원,24.74
202205,대만,치과,6.95
202205,대만,한의학과,2.66
202205,대만,안과,2.25
202205,대만,한약방,0.2
202206,대만,약국,46.53
202206,대만,피부과,8.4
202206,대만,성형외과,2.42
202206,대만,대학/종합병원,32.63
202206,대만,치과,6.3
202206,대만,한의학과,1.45
202206,대만,안과,2.26
202207,대만,약국,55.83
202207,대만,피부과,9.05
202207,대만,성형외과,3.37
202207,대만,대학/종합병원,23.16
202207,대만,치과,5.21
202207,대만,한의학과,1.69
202207,대만,안과,1.38
202207,대만,한약방,0.31
202208,대만,약국,62.07
202208,대만,피부과,9.63
202208,대만,성형외과,7.47
202208,대만,대학/종합병원,13.36
202208,대만,치과,4.17
202208,대만,한의학과,1.01
202208,대만,안과,2.16
202208,대만,한약방,0.14
202209,대만,약국,60.08
202209,대만,피부과,12.39
202209,대만,성형외과,11.39
202209,대만,대학/종합병원,6.51
202209,대만,치과,4.63
202209,대만,한의학과,3.5
202209,대만,안과,1.25
202209,대만,한약방,0.25
202210,대만,약국,61.05
202210,대만,피부과,13.09
202210,대만,성형외과,10.3
202210,대만,대학/종합병원,4.51
202210,대만,치과,6.44
202210,대만,한의학과,3.11
202210,대만,안과,1.29
202210,대만,한약방,0.21
202211,대만,약국,53.53
202211,대만,피부과,13.85
202211,대만,성형외과,20.82
202211,대만,대학/종합병원,6.97
202211,대만,치과,2.32
202211,대만,한의학과,1.67
202211,대만,안과,0.28
202211,대만,한약방,0.56
202212,대만,약국,63.11
202212,대만,피부과,17.21
202212,대만,성형외과,7.92
202212,대만,대학/종합병원,5.56
202212,대만,치과,3.64
202212,대만,한의학과,1.64
202212,대만,안과,0.64
202212,대만,한약방,0.27
