기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202601,미국,약국,54.16
202601,미국,피부과,13.45
202601,미국,대학/종합병원,13.52
202601,미국,치과,8.05
202601,미국,한의학과,4.08
202601,미국,성형외과,4.32
202601,미국,안과,2.38
202601,미국,한약방,0.05
202602,미국,약국,53.97
202602,미국,피부과,13.18
202602,미국,대학/종합병원,13.82
202602,미국,치과,7.93
202602,미국,한의학과,4.52
202602,미국,성형외과,4.19
202602,미국,안과,2.34
202602,미국,한약방,0.05
202603,미국,약국,56.97
202603,미국,피부과,13.95
202603,미국,대학/종합병원,11.22
202603,미국,치과,7.48
202603,미국,한의학과,3.84
202603,미국,성형외과,4.21
202603,미국,안과,2.26
202603,미국,한약방,0.06
202604,미국,약국,58.56
202604,미국,피부과,13.84
202604,미국,대학/종합병원,10.34
202604,미국,치과,7.4
202604,미국,한의학과,3.74
202604,미국,성형외과,3.96
202604,미국,안과,2.1
202604,미국,한약방,0.05
202605,미국,약국,59.44
202605,미국,피부과,13.6
202605,미국,대학/종합병원,9.93
202605,미국,치과,7.23
202605,미국,한의학과,3.86
202605,미국,성형외과,3.73
202605,미국,안과,2.16
202605,미국,한약방,0.05
202606,미국,약국,58.48
202606,미국,피부과,13.34
202606,미국,대학/종합병원,10.26
202606,미국,치과,8.15
202606,미국,한의학과,3.75
202606,미국,성형외과,3.47
202606,미국,안과,2.5
202606,미국,한약방,0.06
