기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202101,미국,대학/종합병원,36.74
202101,미국,피부과,14.11
202101,미국,치과,19.95
202101,미국,성형외과,14.74
202101,미국,약국,7.28
202101,미국,한의학과,4.79
202101,미국,안과,2.35
202101,미국,한약방,0.04
202102,미국,대학/종합병원,41.99
202102,미국,피부과,15.37
202102,미국,치과,17.55
202102,미국,성형외과,11.27
202102,미국,약국,7.34
202102,미국,한의학과,4.4
202102,미국,안과,2.07
202102,미국,한약방,0.01
202103,미국,대학/종합병원,34.04
202103,미국,피부과,16.34
202103,미국,치과,18.72
202103,미국,성형외과,15.96
202103,미국,약국,7.2
202103,미국,한의학과,4.68
202103,미국,안과,3.04
202103,미국,한약방,0.01
202104,미국,대학/종합병원,32.43
202104,미국,피부과,15.87
202104,미국,치과,18.88
202104,미국,성형외과,19.2
202104,미국,약국,6.61
202104,미국,한의학과,3.12
202104,미국,안과,3.83
202104,미국,한약방,0.05
202105,미국,대학/종합병원,32.45
202105,미국,피부과,17.03
202105,미국,치과,18.68
202105,미국,성형외과,17.75
202105,미국,약국,6.95
202105,미국,한의학과,4.24
202105,미국,안과,2.87
202105,미국,한약방,0.03
202106,미국,대학/종합병원,33.6
202106,미국,피부과,17.43
202106,미국,치과,17.3
202106,미국,성형외과,17.95
202106,미국,약국,6.1
202106,미국,한의학과,3.6
202106,미국,안과,3.99
202106,미국,한약방,0.04
202107,미국,대학/종합병원,31.95
202107,미국,피부과,17.69
202107,미국,치과,18.01
202107,미국,성형외과,17.22
202107,미국,약국,6.34
202107,미국,한의학과,4.73
202107,미국,안과,4.04
202107,미국,한약방,0.02
202108,미국,대학/종합병원,33.99
202108,미국,피부과,17.25
202108,미국,치과,17.97
202108,미국,성형외과,15.48
202108,미국,약국,7.43
202108,미국,한의학과,3.93
202108,미국,안과,3.83
202108,미국,한약방,0.1
202109,미국,대학/종합병원,30.72
202109,미국,피부과,18.17
202109,미국,치과,17.32
202109,미국,성형외과,18.45
202109,미국,약국,7.06
202109,미국,한의학과,4.5
202109,미국,안과,3.72
202109,미국,한약방,0.06
202110,미국,대학/종합병원,32.55
202110,미국,피부과,17.39
202110,미국,치과,17.54
202110,미국,성형외과,18.86
202110,미국,약국,6.46
202110,미국,한의학과,4.32
202110,미국,안과,2.84
202110,미국,한약방,0.03
202111,미국,대학/종합병원,31.74
202111,미국,피부과,17.49
202111,미국,치과,16.8
202111,미국,성형외과,18.97
202111,미국,약국,6.79
202111,미국,한의학과,3.91
202111,미국,안과,4.22
202111,미국,한약방,0.08
202112,미국,대학/종합병원,33.38
202112,미국,피부과,18.63
202112,미국,치과,16.34
202112,미국,성형외과,16.05
202112,미국,약국,7.81
202112,미국,한의학과,4.42
202112,미국,안과,3.36
202112,미국,한약방,0.02
