기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202301,일본,피부과,29.65
202301,일본,성형외과,51.88
202301,일본,약국,3.43
202301,일본,한의학과,6.03
202301,일본,치과,5.34
202301,일본,대학/종합병원,3.09
202301,일본,안과,0.53
202301,일본,한약방,0.05
202302,일본,피부과,28.48
202302,일본,성형외과,57.03
202302,일본,약국,3.35
202302,일본,한의학과,4.34
202302,일본,치과,4.04
202302,일본,대학/종합병원,2.32
202302,일본,안과,0.42
202302,일본,한약방,0.03
202303,일본,피부과,36.5
202303,일본,성형외과,51.25
202303,일본,약국,3.67
202303,일본,한의학과,3.93
202303,일본,치과,3.13
202303,일본,대학/종합병원,1.33
202303,일본,안과,0.16
202303,일본,한약방,0.04
202304,일본,피부과,38.03
202304,일본,성형외과,47.22
202304,일본,약국,3.33
202304,일본,한의학과,3.3
202304,일본,치과,4.24
202304,일본,대학/종합병원,3.66
202304,일본,안과,0.19
202304,일본,한약방,0.02
202305,일본,피부과,45.74
202305,일본,성형외과,43.9
202305,일본,약국,3.32
202305,일본,한의학과,3.02
202305,일본,치과,2.41
202305,일본,대학/종합병원,1.35
202305,일본,안과,0.25
202305,일본,한약방,0.02
202306,일본,피부과,48.84
202306,일본,성형외과,41.5
202306,일본,약국,2.95
202306,일본,한의학과,3.01
202306,일본,치과,2.21
202306,일본,대학/종합병원,1.34
202306,일본,안과,0.12
202306,일본,한약방,0.02
202307,일본,피부과,52.42
202307,일본,성형외과,35.79
202307,일본,약국,2.83
202307,일본,한의학과,2.94
202307,일본,치과,1.8
202307,일본,대학/종합병원,4.08
202307,일본,안과,0.13
202307,일본,한약방,0.02
202308,일본,피부과,49.59
202308,일본,성형외과,41.02
202308,일본,약국,2.93
202308,일본,한의학과,2.24
202308,일본,치과,2.84
202308,일본,대학/종합병원,1.04
202308,일본,안과,0.3
202308,일본,한약방,0.02
202309,일본,피부과,54.33
202309,일본,성형외과,38.09
202309,일본,약국,2.88
202309,일본,한의학과,2.14
202309,일본,치과,1.49
202309,일본,대학/종합병원,0.87
202309,일본,안과,0.17
202309,일본,한약방,0.02
202310,일본,피부과,54.91
202310,일본,성형외과,36.22
202310,일본,약국,3.37
202310,일본,한의학과,2.13
202310,일본,치과,2.2
202310,일본,대학/종합병원,0.91
202310,일본,안과,0.2
202310,일본,한약방,0.06
202311,일본,피부과,54.04
202311,일본,성형외과,37.14
202311,일본,약국,3.17
202311,일본,한의학과,2.39
202311,일본,치과,1.71
202311,일본,대학/종합병원,1.28
202311,일본,안과,0.22
202311,일본,한약방,0.05
202312,일본,피부과,51.61
202312,일본,성형외과,39.06
202312,일본,약국,3.13
202312,일본,한의학과,2.65
202312,일본,치과,1.9
202312,일본,대학/종합병원,1.46
202312,일본,안과,0.15
202312,일본,한약방,0.04
