기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202001,일본,약국,39.77
202001,일본,대학/종합병원,4.12
202001,일본,한의학과,7.97
202001,일본,피부과,25.36
202001,일본,치과,2.89
202001,일본,성형외과,19.3
202001,일본,안과,0.42
202001,일본,한약방,0.17
202002,일본,약국,42.35
202002,일본,대학/종합병원,2.76
202002,일본,한의학과,8.33
202002,일본,피부과,23.97
202002,일본,치과,1.98
202002,일본,성형외과,20.06
202002,일본,안과,0.31
202002,일본,한약방,0.25
202003,일본,약국,49.81
202003,일본,대학/종합병원,6.56
202003,일본,한의학과,15.37
202003,일본,피부과,9.93
202003,일본,치과,5.7
202003,일본,성형외과,11.62
202003,일본,안과,0.94
202003,일본,한약방,0.07
202004,일본,약국,51.08
202004,일본,대학/종합병원,9.58
202004,일본,한의학과,18.01
202004,일본,피부과,8.08
202004,일본,치과,8.78
202004,일본,성형외과,2.91
202004,일본,안과,1.46
202004,일본,한약방,0.1
202005,일본,약국,47.09
202005,일본,대학/종합병원,7.99
202005,일본,한의학과,21.43
202005,일본,피부과,9.5
202005,일본,치과,8.77
202005,일본,성형외과,3.9
202005,일본,안과,1.28
202005,일본,한약방,0.05
202006,일본,약국,43.74
202006,일본,대학/종합병원,10.61
202006,일본,한의학과,25.92
202006,일본,피부과,8.89
202006,일본,치과,7.05
202006,일본,성형외과,2.27
202006,일본,안과,1.49
202006,일본,한약방,0.04
202007,일본,약국,42.17
202007,일본,대학/종합병원,11.22
202007,일본,한의학과,22.96
202007,일본,피부과,8.39
202007,일본,치과,10.13
202007,일본,성형외과,3.03
202007,일본,안과,1.98
202007,일본,한약방,0.12
202008,일본,약국,41.62
202008,일본,대학/종합병원,18.07
202008,일본,한의학과,19.54
202008,일본,피부과,7.89
202008,일본,치과,7.73
202008,일본,성형외과,3.68
202008,일본,안과,1.47
202009,일본,약국,39.57
202009,일본,대학/종합병원,22.63
202009,일본,한의학과,18.0
202009,일본,피부과,7.66
202009,일본,치과,6.8
202009,일본,성형외과,3.89
202009,일본,안과,1.41
202009,일본,한약방,0.04
202010,일본,약국,37.2
202010,일본,대학/종합병원,25.41
202010,일본,한의학과,17.5
202010,일본,피부과,8.43
202010,일본,치과,6.67
202010,일본,성형외과,3.09
202010,일본,안과,1.51
202010,일본,한약방,0.18
202011,일본,약국,38.42
202011,일본,대학/종합병원,21.82
202011,일본,한의학과,16.36
202011,일본,피부과,8.1
202011,일본,치과,8.63
202011,일본,성형외과,4.23
202011,일본,안과,2.4
202011,일본,한약방,0.04
202012,일본,약국,36.03
202012,일본,대학/종합병원,28.39
202012,일본,한의학과,14.34
202012,일본,피부과,8.24
202012,일본,치과,7.94
202012,일본,성형외과,3.37
202012,일본,안과,1.5
202012,일본,한약방,0.19
