기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202101,중국,약국,42.87
202101,중국,대학/종합병원,35.73
202101,중국,피부과,7.36
202101,중국,치과,7.8
202101,중국,한의학과,2.95
202101,중국,성형외과,2.85
202101,중국,안과,0.4
202101,중국,한약방,0.05
202102,중국,약국,49.66
202102,중국,대학/종합병원,22.79
202102,중국,피부과,8.87
202102,중국,치과,9.18
202102,중국,한의학과,4.46
202102,중국,성형외과,3.98
202102,중국,안과,1.06
202103,중국,약국,45.13
202103,중국,대학/종합병원,24.25
202103,중국,피부과,12.22
202103,중국,치과,9.4
202103,중국,한의학과,4.14
202103,중국,성형외과,3.31
202103,중국,안과,1.51
202103,중국,한약방,0.05
202104,중국,약국,44.87
202104,중국,대학/종합병원,25.43
202104,중국,피부과,11.13
202104,중국,치과,9.16
202104,중국,한의학과,4.93
202104,중국,성형외과,2.88
202104,중국,안과,1.59
202105,중국,약국,43.32
202105,중국,대학/종합병원,26.25
202105,중국,피부과,10.27
202105,중국,치과,9.46
202105,중국,한의학과,5.56
202105,중국,성형외과,3.14
202105,중국,안과,2.0
202106,중국,약국,39.26
202106,중국,대학/종합병원,33.19
202106,중국,피부과,10.31
202106,중국,치과,8.41
202106,중국,한의학과,4.18
202106,중국,성형외과,3.51
202106,중국,안과,1.01
202106,중국,한약방,0.13
202107,중국,약국,42.35
202107,중국,대학/종합병원,31.39
202107,중국,피부과,8.57
202107,중국,치과,9.2
202107,중국,한의학과,3.74
202107,중국,성형외과,3.11
202107,중국,안과,1.44
202107,중국,한약방,0.18
202108,중국,약국,45.61
202108,중국,대학/종합병원,27.22
202108,중국,피부과,7.56
202108,중국,치과,9.22
202108,중국,한의학과,5.66
202108,중국,성형외과,2.63
202108,중국,안과,2.06
202108,중국,한약방,0.05
202109,중국,약국,48.92
202109,중국,대학/종합병원,24.36
202109,중국,피부과,10.35
202109,중국,치과,7.18
202109,중국,한의학과,5.63
202109,중국,성형외과,2.16
202109,중국,안과,1.31
202109,중국,한약방,0.1
202110,중국,약국,49.52
202110,중국,대학/종합병원,23.48
202110,중국,피부과,10.7
202110,중국,치과,7.65
202110,중국,한의학과,4.59
202110,중국,성형외과,2.43
202110,중국,안과,1.45
202110,중국,한약방,0.19
202111,중국,약국,44.83
202111,중국,대학/종합병원,24.93
202111,중국,피부과,12.64
202111,중국,치과,8.11
202111,중국,한의학과,4.7
202111,중국,성형외과,2.88
202111,중국,안과,1.82
202111,중국,한약방,0.09
202112,중국,약국,43.62
202112,중국,대학/종합병원,31.37
202112,중국,피부과,8.01
202112,중국,치과,7.48
202112,중국,한의학과,5.51
202112,중국,성형외과,2.67
202112,중국,안과,1.3
202112,중국,한약방,0.04
