기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202401,중국,피부과,59.76
202401,중국,성형외과,25.3
202401,중국,약국,4.79
202401,중국,대학/종합병원,4.78
202401,중국,치과,3.27
202401,중국,한의학과,1.2
202401,중국,안과,0.9
202401,중국,한약방,0.01
202402,중국,피부과,59.86
202402,중국,성형외과,25.14
202402,중국,약국,4.91
202402,중국,대학/종합병원,5.06
202402,중국,치과,3.18
202402,중국,한의학과,0.91
202402,중국,안과,0.93
202402,중국,한약방,0.01
202403,중국,피부과,62.21
202403,중국,성형외과,23.39
202403,중국,약국,4.38
202403,중국,대학/종합병원,5.13
202403,중국,치과,2.9
202403,중국,한의학과,1.19
202403,중국,안과,0.78
202403,중국,한약방,0.02
202404,중국,피부과,64.72
202404,중국,성형외과,22.4
202404,중국,약국,3.96
202404,중국,대학/종합병원,2.57
202404,중국,치과,4.35
202404,중국,한의학과,1.14
202404,중국,안과,0.85
202404,중국,한약방,0.01
202405,중국,피부과,67.22
202405,중국,성형외과,20.24
202405,중국,약국,4.14
202405,중국,대학/종합병원,3.47
202405,중국,치과,2.27
202405,중국,한의학과,2.19
202405,중국,안과,0.46
202405,중국,한약방,0.01
202406,중국,피부과,68.77
202406,중국,성형외과,18.83
202406,중국,약국,3.62
202406,중국,대학/종합병원,2.78
202406,중국,치과,3.38
202406,중국,한의학과,1.34
202406,중국,안과,1.26
202406,중국,한약방,0.01
202407,중국,피부과,67.47
202407,중국,성형외과,20.18
202407,중국,약국,4.31
202407,중국,대학/종합병원,3.89
202407,중국,치과,2.24
202407,중국,한의학과,0.92
202407,중국,안과,0.99
202407,중국,한약방,0.01
202408,중국,피부과,70.77
202408,중국,성형외과,17.54
202408,중국,약국,4.46
202408,중국,대학/종합병원,2.96
202408,중국,치과,2.39
202408,중국,한의학과,0.91
202408,중국,안과,0.96
202408,중국,한약방,0.01
202409,중국,피부과,66.08
202409,중국,성형외과,22.96
202409,중국,약국,3.74
202409,중국,대학/종합병원,3.11
202409,중국,치과,1.84
202409,중국,한의학과,1.37
202409,중국,안과,0.88
202409,중국,한약방,0.02
202410,중국,피부과,66.72
202410,중국,성형외과,21.37
202410,중국,약국,3.84
202410,중국,대학/종합병원,3.63
202410,중국,치과,2.62
202410,중국,한의학과,1.22
202410,중국,안과,0.6
202410,중국,한약방,0.01
202411,중국,피부과,67.31
202411,중국,성형외과,23.12
202411,중국,약국,3.47
202411,중국,대학/종합병원,2.09
202411,중국,치과,2.49
202411,중국,한의학과,1.22
202411,중국,안과,0.29
202411,중국,한약방,0.02
202412,중국,피부과,67.84
202412,중국,성형외과,22.91
202412,중국,약국,3.5
202412,중국,대학/종합병원,2.12
202412,중국,치과,1.93
202412,중국,한의학과,0.88
202412,중국,안과,0.82
202412,중국,한약방,0.0
