기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202101,태국,성형외과,14.15
202101,태국,피부과,34.72
202101,태국,대학/종합병원,25.14
202101,태국,치과,18.81
202101,태국,약국,6.03
202101,태국,한의학과,1.14
202101,태국,안과,0.02
202101,태국,한약방,0.01
202102,태국,성형외과,22.58
202102,태국,피부과,27.54
202102,태국,대학/종합병원,19.66
202102,태국,치과,19.26
202102,태국,약국,9.06
202102,태국,한의학과,0.55
202102,태국,안과,1.35
202103,태국,성형외과,24.6
202103,태국,피부과,34.69
202103,태국,대학/종합병원,28.23
202103,태국,치과,7.17
202103,태국,약국,4.71
202103,태국,한의학과,0.49
202103,태국,안과,0.11
202104,태국,성형외과,13.94
202104,태국,피부과,51.33
202104,태국,대학/종합병원,10.16
202104,태국,치과,15.12
202104,태국,약국,6.89
202104,태국,한의학과,2.07
202104,태국,안과,0.47
202104,태국,한약방,0.02
202105,태국,성형외과,12.04
202105,태국,피부과,48.29
202105,태국,대학/종합병원,7.1
202105,태국,치과,14.57
202105,태국,약국,8.4
202105,태국,한의학과,1.71
202105,태국,안과,7.89
202106,태국,성형외과,43.56
202106,태국,피부과,26.14
202106,태국,대학/종합병원,7.02
202106,태국,치과,16.75
202106,태국,약국,4.87
202106,태국,한의학과,1.58
202106,태국,안과,0.08
202107,태국,성형외과,19.47
202107,태국,피부과,51.09
202107,태국,대학/종합병원,9.66
202107,태국,치과,7.53
202107,태국,약국,11.53
202107,태국,한의학과,0.62
202107,태국,안과,0.11
202108,태국,성형외과,27.15
202108,태국,피부과,15.69
202108,태국,대학/종합병원,10.03
202108,태국,치과,26.01
202108,태국,약국,12.5
202108,태국,한의학과,8.3
202108,태국,안과,0.31
202109,태국,성형외과,14.4
202109,태국,피부과,27.6
202109,태국,대학/종합병원,22.52
202109,태국,치과,25.71
202109,태국,약국,6.73
202109,태국,한의학과,0.13
202109,태국,안과,0.46
202109,태국,한약방,2.45
202110,태국,성형외과,35.17
202110,태국,피부과,22.97
202110,태국,대학/종합병원,16.75
202110,태국,치과,11.7
202110,태국,약국,13.0
202110,태국,한의학과,0.19
202110,태국,안과,0.21
202111,태국,성형외과,32.78
202111,태국,피부과,20.34
202111,태국,대학/종합병원,18.71
202111,태국,치과,13.67
202111,태국,약국,10.23
202111,태국,한의학과,1.74
202111,태국,안과,2.52
202112,태국,성형외과,34.89
202112,태국,피부과,27.4
202112,태국,대학/종합병원,22.09
202112,태국,치과,10.9
202112,태국,약국,4.52
202112,태국,한의학과,0.09
202112,태국,안과,0.08
202112,태국,한약방,0.03
