기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202301,태국,약국,49.71
202301,태국,피부과,19.27
202301,태국,성형외과,21.92
202301,태국,대학/종합병원,4.99
202301,태국,치과,2.82
202301,태국,안과,0.35
202301,태국,한의학과,0.76
202301,태국,한약방,0.18
202302,태국,약국,42.57
202302,태국,피부과,24.14
202302,태국,성형외과,27.7
202302,태국,대학/종합병원,2.96
202302,태국,치과,1.7
202302,태국,안과,0.44
202302,태국,한의학과,0.27
202302,태국,한약방,0.22
202303,태국,약국,47.01
202303,태국,피부과,24.33
202303,태국,성형외과,24.08
202303,태국,대학/종합병원,2.71
202303,태국,치과,0.92
202303,태국,안과,0.51
202303,태국,한의학과,0.29
202303,태국,한약방,0.16
202304,태국,약국,49.15
202304,태국,피부과,27.74
202304,태국,성형외과,17.53
202304,태국,대학/종합병원,3.32
202304,태국,치과,1.2
202304,태국,안과,0.36
202304,태국,한의학과,0.38
202304,태국,한약방,0.34
202305,태국,약국,41.45
202305,태국,피부과,32.7
202305,태국,성형외과,20.0
202305,태국,대학/종합병원,3.46
202305,태국,치과,1.57
202305,태국,안과,0.34
202305,태국,한의학과,0.17
202305,태국,한약방,0.32
202306,태국,약국,39.66
202306,태국,피부과,35.17
202306,태국,성형외과,18.61
202306,태국,대학/종합병원,3.96
202306,태국,치과,1.8
202306,태국,안과,0.35
202306,태국,한의학과,0.3
202306,태국,한약방,0.15
202307,태국,약국,41.8
202307,태국,피부과,32.4
202307,태국,성형외과,17.19
202307,태국,대학/종합병원,3.23
202307,태국,치과,2.41
202307,태국,안과,0.66
202307,태국,한의학과,2.21
202307,태국,한약방,0.1
202308,태국,약국,39.88
202308,태국,피부과,38.52
202308,태국,성형외과,14.31
202308,태국,대학/종합병원,3.63
202308,태국,치과,2.27
202308,태국,안과,0.29
202308,태국,한의학과,0.91
202308,태국,한약방,0.21
202309,태국,약국,42.19
202309,태국,피부과,36.33
202309,태국,성형외과,14.21
202309,태국,대학/종합병원,4.28
202309,태국,치과,1.8
202309,태국,안과,0.64
202309,태국,한의학과,0.29
202309,태국,한약방,0.26
202310,태국,약국,44.35
202310,태국,피부과,35.89
202310,태국,성형외과,14.98
202310,태국,대학/종합병원,2.62
202310,태국,치과,1.29
202310,태국,안과,0.28
202310,태국,한의학과,0.35
202310,태국,한약방,0.23
202311,태국,약국,42.35
202311,태국,피부과,40.2
202311,태국,성형외과,12.86
202311,태국,대학/종합병원,2.41
202311,태국,치과,1.3
202311,태국,안과,0.36
202311,태국,한의학과,0.23
202311,태국,한약방,0.29
202312,태국,약국,46.04
202312,태국,피부과,35.53
202312,태국,성형외과,12.07
202312,태국,대학/종합병원,4.0
202312,태국,치과,1.58
202312,태국,안과,0.33
202312,태국,한의학과,0.22
202312,태국,한약방,0.22
