기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202301,홍콩,한약방,0.13
202301,홍콩,약국,49.45
202301,홍콩,피부과,15.57
202301,홍콩,대학/종합병원,13.24
202301,홍콩,성형외과,8.36
202301,홍콩,치과,9.55
202301,홍콩,한의학과,1.85
202301,홍콩,안과,1.85
202302,홍콩,한약방,0.12
202302,홍콩,약국,44.15
202302,홍콩,피부과,16.22
202302,홍콩,대학/종합병원,16.16
202302,홍콩,성형외과,9.85
202302,홍콩,치과,8.48
202302,홍콩,한의학과,2.97
202302,홍콩,안과,2.04
202303,홍콩,한약방,0.05
202303,홍콩,약국,42.61
202303,홍콩,피부과,18.98
202303,홍콩,대학/종합병원,13.48
202303,홍콩,성형외과,11.54
202303,홍콩,치과,8.22
202303,홍콩,한의학과,3.51
202303,홍콩,안과,1.62
202304,홍콩,한약방,0.15
202304,홍콩,약국,47.71
202304,홍콩,피부과,17.99
202304,홍콩,대학/종합병원,12.17
202304,홍콩,성형외과,9.34
202304,홍콩,치과,7.74
202304,홍콩,한의학과,2.76
202304,홍콩,안과,2.14
202305,홍콩,한약방,0.08
202305,홍콩,약국,46.73
202305,홍콩,피부과,20.04
202305,홍콩,대학/종합병원,10.7
202305,홍콩,성형외과,10.78
202305,홍콩,치과,6.19
202305,홍콩,한의학과,3.66
202305,홍콩,안과,1.83
202306,홍콩,한약방,0.15
202306,홍콩,약국,45.93
202306,홍콩,피부과,20.18
202306,홍콩,대학/종합병원,11.15
202306,홍콩,성형외과,9.26
202306,홍콩,치과,8.11
202306,홍콩,한의학과,2.61
202306,홍콩,안과,2.61
202307,홍콩,한약방,0.12
202307,홍콩,약국,47.45
202307,홍콩,피부과,19.36
202307,홍콩,대학/종합병원,11.84
202307,홍콩,성형외과,7.07
202307,홍콩,치과,9.24
202307,홍콩,한의학과,2.91
202307,홍콩,안과,2.02
202308,홍콩,한약방,0.04
202308,홍콩,약국,47.95
202308,홍콩,피부과,18.9
202308,홍콩,대학/종합병원,10.65
202308,홍콩,성형외과,8.46
202308,홍콩,치과,7.57
202308,홍콩,한의학과,3.96
202308,홍콩,안과,2.48
202309,홍콩,약국,48.62
202309,홍콩,피부과,22.55
202309,홍콩,대학/종합병원,8.34
202309,홍콩,성형외과,10.48
202309,홍콩,치과,5.55
202309,홍콩,한의학과,2.72
202309,홍콩,안과,1.75
202310,홍콩,한약방,0.09
202310,홍콩,약국,49.46
202310,홍콩,피부과,21.57
202310,홍콩,대학/종합병원,8.23
202310,홍콩,성형외과,9.81
202310,홍콩,치과,6.75
202310,홍콩,한의학과,2.29
202310,홍콩,안과,1.8
202311,홍콩,한약방,0.17
202311,홍콩,약국,48.62
202311,홍콩,피부과,21.76
202311,홍콩,대학/종합병원,7.27
202311,홍콩,성형외과,11.08
202311,홍콩,치과,6.44
202311,홍콩,한의학과,3.47
202311,홍콩,안과,1.2
202312,홍콩,약국,51.86
202312,홍콩,피부과,19.42
202312,홍콩,대학/종합병원,8.89
202312,홍콩,성형외과,7.8
202312,홍콩,치과,7.56
202312,홍콩,한의학과,2.81
202312,홍콩,안과,1.67
