기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
201801,홍콩,성형외과,31.96
201801,홍콩,피부과,31.19
201801,홍콩,대학/종합병원,17.63
201801,홍콩,치과,7.42
201801,홍콩,약국,6.23
201801,홍콩,한의학과,4.38
201801,홍콩,안과,1.17
201801,홍콩,한약방,0.02
201802,홍콩,성형외과,29.79
201802,홍콩,피부과,30.87
201802,홍콩,대학/종합병원,15.48
201802,홍콩,치과,14.18
201802,홍콩,약국,5.51
201802,홍콩,한의학과,4.05
201802,홍콩,안과,0.11
201802,홍콩,한약방,0.0
201803,홍콩,성형외과,38.29
201803,홍콩,피부과,25.61
201803,홍콩,대학/종합병원,25.53
201803,홍콩,치과,4.49
201803,홍콩,약국,2.94
201803,홍콩,한의학과,3.11
201803,홍콩,안과,0.04
201803,홍콩,한약방,0.0
201804,홍콩,성형외과,34.69
201804,홍콩,피부과,32.12
201804,홍콩,대학/종합병원,17.18
201804,홍콩,치과,5.19
201804,홍콩,약국,3.77
201804,홍콩,한의학과,6.02
201804,홍콩,안과,0.94
201804,홍콩,한약방,0.08
201805,홍콩,성형외과,33.22
201805,홍콩,피부과,29.75
201805,홍콩,대학/종합병원,20.79
201805,홍콩,치과,6.38
201805,홍콩,약국,4.43
201805,홍콩,한의학과,5.21
201805,홍콩,안과,0.14
201805,홍콩,한약방,0.07
201806,홍콩,성형외과,35.16
201806,홍콩,피부과,30.15
201806,홍콩,대학/종합병원,17.5
201806,홍콩,치과,6.56
201806,홍콩,약국,4.35
201806,홍콩,한의학과,5.16
201806,홍콩,안과,0.19
201806,홍콩,한약방,0.94
201807,홍콩,성형외과,36.27
201807,홍콩,피부과,21.4
201807,홍콩,대학/종합병원,17.25
201807,홍콩,치과,16.52
201807,홍콩,약국,4.03
201807,홍콩,한의학과,3.51
201807,홍콩,안과,1.01
201808,홍콩,성형외과,35.38
201808,홍콩,피부과,20.81
201808,홍콩,대학/종합병원,18.99
201808,홍콩,치과,17.47
201808,홍콩,약국,3.99
201808,홍콩,한의학과,3.16
201808,홍콩,안과,0.19
201809,홍콩,성형외과,26.89
201809,홍콩,피부과,41.07
201809,홍콩,대학/종합병원,14.69
201809,홍콩,치과,8.82
201809,홍콩,약국,3.98
201809,홍콩,한의학과,3.42
201809,홍콩,안과,1.13
201809,홍콩,한약방,0.0
201810,홍콩,성형외과,35.98
201810,홍콩,피부과,31.34
201810,홍콩,대학/종합병원,18.83
201810,홍콩,치과,5.56
201810,홍콩,약국,4.03
201810,홍콩,한의학과,3.47
201810,홍콩,안과,0.8
201810,홍콩,한약방,0.01
201811,홍콩,성형외과,36.21
201811,홍콩,피부과,28.61
201811,홍콩,대학/종합병원,16.95
201811,홍콩,치과,9.84
201811,홍콩,약국,3.8
201811,홍콩,한의학과,3.98
201811,홍콩,안과,0.56
201811,홍콩,한약방,0.04
201812,홍콩,성형외과,46.07
201812,홍콩,피부과,22.84
201812,홍콩,대학/종합병원,16.17
201812,홍콩,치과,6.51
201812,홍콩,약국,4.22
201812,홍콩,한의학과,2.78
201812,홍콩,안과,1.4
201812,홍콩,한약방,0.0
