기준연월,시도명,시군구,행정동,소비건수비율
2026,서울특별시,중구,명동,42.54
2026,서울특별시,마포구,서교동,23.73
2026,서울특별시,강남구,역삼1동,14.25
2026,서울특별시,서초구,서초4동,12.48
2026,서울특별시,강남구,논현1동,7.0
2025,서울특별시,중구,명동,32.74
2025,서울특별시,마포구,서교동,24.32
2025,서울특별시,강남구,역삼1동,18.5
2025,서울특별시,서초구,서초4동,15.41
2025,서울특별시,강남구,논현1동,9.04
2024,서울특별시,중구,명동,27.59
2024,서울특별시,마포구,서교동,18.92
2024,서울특별시,강남구,역삼1동,25.49
2024,서울특별시,서초구,서초4동,19.08
2024,서울특별시,강남구,논현1동,8.91
2023,서울특별시,중구,명동,20.94
2023,서울특별시,마포구,서교동,15.89
2023,서울특별시,강남구,역삼1동,35.88
2023,서울특별시,서초구,서초4동,17.28
2023,서울특별시,강남구,논현1동,10.01
2022,서울특별시,중구,명동,13.87
2022,서울특별시,마포구,서교동,17.75
2022,서울특별시,강남구,역삼1동,35.38
2022,서울특별시,서초구,서초4동,14.11
2022,서울특별시,강남구,논현1동,18.88
2021,서울특별시,중구,명동,7.94
2021,서울특별시,마포구,서교동,17.47
2021,서울특별시,강남구,역삼1동,39.89
2021,서울특별시,서초구,서초4동,15.16
2021,서울특별시,강남구,논현1동,19.54
2020,서울특별시,중구,명동,19.12
2020,서울특별시,마포구,서교동,18.48
2020,서울특별시,강남구,역삼1동,33.6
2020,서울특별시,서초구,서초4동,13.1
2020,서울특별시,강남구,논현1동,15.69
2019,서울특별시,중구,명동,25.75
2019,서울특별시,마포구,서교동,14.69
2019,서울특별시,강남구,역삼1동,30.6
2019,서울특별시,서초구,서초4동,11.45
2019,서울특별시,강남구,논현1동,17.51
2018,서울특별시,중구,명동,25.48
2018,서울특별시,마포구,서교동,12.78
2018,서울특별시,강남구,역삼1동,30.22
2018,서울특별시,서초구,서초4동,12.97
2018,서울특별시,강남구,논현1동,18.55
