기준연월,시도명,시군구,행정동,소비금액비율
2026,서울특별시,서초구,서초4동,27.31
2026,서울특별시,중구,명동,24.15
2026,서울특별시,강남구,역삼1동,17.42
2026,서울특별시,강남구,논현1동,15.57
2026,서울특별시,강남구,신사동,15.55
2025,서울특별시,서초구,서초4동,28.76
2025,서울특별시,중구,명동,20.36
2025,서울특별시,강남구,역삼1동,19.61
2025,서울특별시,강남구,논현1동,17.04
2025,서울특별시,강남구,신사동,14.23
2024,서울특별시,서초구,서초4동,27.66
2024,서울특별시,중구,명동,14.91
2024,서울특별시,강남구,역삼1동,25.96
2024,서울특별시,강남구,논현1동,16.47
2024,서울특별시,강남구,신사동,15.01
2023,서울특별시,서초구,서초4동,19.29
2023,서울특별시,중구,명동,8.45
2023,서울특별시,강남구,역삼1동,34.78
2023,서울특별시,강남구,논현1동,19.81
2023,서울특별시,강남구,신사동,17.67
2022,서울특별시,서초구,서초4동,15.54
2022,서울특별시,중구,명동,2.88
2022,서울특별시,강남구,역삼1동,29.88
2022,서울특별시,강남구,논현1동,30.16
2022,서울특별시,강남구,신사동,21.54
2021,서울특별시,서초구,서초4동,17.33
2021,서울특별시,중구,명동,3.72
2021,서울특별시,강남구,역삼1동,32.22
2021,서울특별시,강남구,논현1동,23.17
2021,서울특별시,강남구,신사동,23.57
2020,서울특별시,서초구,서초4동,20.36
2020,서울특별시,중구,명동,9.79
2020,서울특별시,강남구,역삼1동,29.25
2020,서울특별시,강남구,논현1동,20.45
2020,서울특별시,강남구,신사동,20.15
2019,서울특별시,서초구,서초4동,11.37
2019,서울특별시,중구,명동,9.35
2019,서울특별시,강남구,역삼1동,28.75
2019,서울특별시,강남구,논현1동,24.7
2019,서울특별시,강남구,신사동,25.84
2018,서울특별시,서초구,서초4동,16.81
2018,서울특별시,중구,명동,7.88
2018,서울특별시,강남구,역삼1동,24.31
2018,서울특별시,강남구,논현1동,22.17
2018,서울특별시,강남구,신사동,28.83
