기준연월,시도명,시군구,행정동,소비건수비율
2026,부산광역시,부산진구,부전2동,34.5
2026,부산광역시,해운대구,중1동,19.32
2026,부산광역시,중구,광복동,17.23
2026,부산광역시,해운대구,우1동,16.65
2026,부산광역시,중구,남포동,12.29
2025,부산광역시,부산진구,부전2동,49.01
2025,부산광역시,해운대구,중1동,20.61
2025,부산광역시,중구,광복동,19.68
2025,부산광역시,해운대구,우1동,2.55
2025,부산광역시,중구,남포동,8.14
2024,부산광역시,부산진구,부전2동,53.0
2024,부산광역시,해운대구,중1동,17.36
2024,부산광역시,중구,광복동,16.03
2024,부산광역시,해운대구,우1동,4.63
2024,부산광역시,중구,남포동,8.98
2023,부산광역시,부산진구,부전2동,44.16
2023,부산광역시,해운대구,중1동,16.67
2023,부산광역시,중구,광복동,19.05
2023,부산광역시,해운대구,우1동,9.11
2023,부산광역시,중구,남포동,11.01
2022,부산광역시,부산진구,부전2동,39.96
2022,부산광역시,해운대구,중1동,19.14
2022,부산광역시,중구,광복동,10.22
2022,부산광역시,해운대구,우1동,21.98
2022,부산광역시,중구,남포동,8.7
2021,부산광역시,부산진구,부전2동,34.34
2021,부산광역시,해운대구,중1동,20.34
2021,부산광역시,중구,광복동,7.78
2021,부산광역시,해운대구,우1동,32.63
2021,부산광역시,중구,남포동,4.91
2020,부산광역시,부산진구,부전2동,30.51
2020,부산광역시,해운대구,중1동,15.49
2020,부산광역시,중구,광복동,17.52
2020,부산광역시,해운대구,우1동,25.81
2020,부산광역시,중구,남포동,10.67
2019,부산광역시,부산진구,부전2동,33.0
2019,부산광역시,해운대구,중1동,11.7
2019,부산광역시,중구,광복동,17.82
2019,부산광역시,해운대구,우1동,23.98
2019,부산광역시,중구,남포동,13.5
2018,부산광역시,부산진구,부전2동,30.38
2018,부산광역시,해운대구,중1동,15.18
2018,부산광역시,중구,광복동,15.38
2018,부산광역시,해운대구,우1동,30.31
2018,부산광역시,중구,남포동,8.76
