기준연월,시도명,시군구,행정동,소비금액비율
2026,부산광역시,부산진구,부전2동,67.47
2026,부산광역시,해운대구,중1동,16.5
2026,부산광역시,중구,광복동,12.14
2026,부산광역시,해운대구,좌4동,2.41
2026,부산광역시,서구,동대신3동,1.48
2025,부산광역시,부산진구,부전2동,81.08
2025,부산광역시,해운대구,중1동,6.95
2025,부산광역시,중구,광복동,6.96
2025,부산광역시,해운대구,좌4동,3.34
2025,부산광역시,서구,동대신3동,1.67
2024,부산광역시,부산진구,부전2동,76.33
2024,부산광역시,해운대구,중1동,2.79
2024,부산광역시,중구,광복동,10.13
2024,부산광역시,해운대구,좌4동,6.08
2024,부산광역시,서구,동대신3동,4.68
2023,부산광역시,부산진구,부전2동,50.12
2023,부산광역시,해운대구,중1동,4.57
2023,부산광역시,중구,광복동,17.48
2023,부산광역시,해운대구,좌4동,15.62
2023,부산광역시,서구,동대신3동,12.22
2022,부산광역시,부산진구,부전2동,35.14
2022,부산광역시,해운대구,중1동,4.53
2022,부산광역시,중구,광복동,6.76
2022,부산광역시,해운대구,좌4동,22.21
2022,부산광역시,서구,동대신3동,31.36
2021,부산광역시,부산진구,부전2동,21.3
2021,부산광역시,해운대구,중1동,3.43
2021,부산광역시,중구,광복동,2.51
2021,부산광역시,해운대구,좌4동,19.68
2021,부산광역시,서구,동대신3동,53.08
2020,부산광역시,부산진구,부전2동,15.53
2020,부산광역시,해운대구,중1동,1.85
2020,부산광역시,중구,광복동,4.93
2020,부산광역시,해운대구,좌4동,13.39
2020,부산광역시,서구,동대신3동,64.31
2019,부산광역시,부산진구,부전2동,13.22
2019,부산광역시,해운대구,중1동,0.87
2019,부산광역시,중구,광복동,5.98
2019,부산광역시,해운대구,좌4동,19.89
2019,부산광역시,서구,동대신3동,60.05
2018,부산광역시,부산진구,부전2동,13.59
2018,부산광역시,해운대구,중1동,1.51
2018,부산광역시,중구,광복동,6.23
2018,부산광역시,해운대구,좌4동,24.29
2018,부산광역시,서구,동대신3동,54.38
