기준연월,시도명,시군구,행정동,소비건수비율
2026,대구광역시,중구,성내1동,33.9
2026,대구광역시,달서구,신당동,21.76
2026,대구광역시,중구,성내2동,19.43
2026,대구광역시,중구,삼덕동,16.76
2026,대구광역시,동구,신암4동,8.15
2025,대구광역시,중구,성내1동,58.93
2025,대구광역시,달서구,신당동,10.02
2025,대구광역시,중구,성내2동,12.4
2025,대구광역시,중구,삼덕동,11.85
2025,대구광역시,동구,신암4동,6.8
2024,대구광역시,중구,성내1동,49.84
2024,대구광역시,달서구,신당동,11.33
2024,대구광역시,중구,성내2동,14.2
2024,대구광역시,중구,삼덕동,14.7
2024,대구광역시,동구,신암4동,9.92
2023,대구광역시,중구,성내1동,27.58
2023,대구광역시,달서구,신당동,18.19
2023,대구광역시,중구,성내2동,19.77
2023,대구광역시,중구,삼덕동,21.2
2023,대구광역시,동구,신암4동,13.26
2022,대구광역시,중구,성내1동,24.36
2022,대구광역시,달서구,신당동,27.82
2022,대구광역시,중구,성내2동,14.9
2022,대구광역시,중구,삼덕동,13.39
2022,대구광역시,동구,신암4동,19.54
2021,대구광역시,중구,성내1동,20.28
2021,대구광역시,달서구,신당동,29.67
2021,대구광역시,중구,성내2동,12.36
2021,대구광역시,중구,삼덕동,15.09
2021,대구광역시,동구,신암4동,22.61
2020,대구광역시,중구,성내1동,20.74
2020,대구광역시,달서구,신당동,30.76
2020,대구광역시,중구,성내2동,11.34
2020,대구광역시,중구,삼덕동,20.32
2020,대구광역시,동구,신암4동,16.83
2019,대구광역시,중구,성내1동,23.9
2019,대구광역시,달서구,신당동,22.79
2019,대구광역시,중구,성내2동,14.64
2019,대구광역시,중구,삼덕동,32.24
2019,대구광역시,동구,신암4동,6.44
2018,대구광역시,중구,성내1동,17.6
2018,대구광역시,달서구,신당동,31.3
2018,대구광역시,중구,성내2동,11.39
2018,대구광역시,중구,삼덕동,25.67
2018,대구광역시,동구,신암4동,14.04
