기준연월,시도명,시군구,행정동,소비금액비율
2026,대구광역시,중구,성내1동,44.86
2026,대구광역시,중구,삼덕동,22.05
2026,대구광역시,달서구,신당동,17.11
2026,대구광역시,중구,성내2동,9.66
2026,대구광역시,동구,신암4동,6.33
2025,대구광역시,중구,성내1동,72.93
2025,대구광역시,중구,삼덕동,13.27
2025,대구광역시,달서구,신당동,4.98
2025,대구광역시,중구,성내2동,5.04
2025,대구광역시,동구,신암4동,3.78
2024,대구광역시,중구,성내1동,64.0
2024,대구광역시,중구,삼덕동,19.36
2024,대구광역시,달서구,신당동,4.43
2024,대구광역시,중구,성내2동,6.5
2024,대구광역시,동구,신암4동,5.71
2023,대구광역시,중구,성내1동,29.7
2023,대구광역시,중구,삼덕동,29.56
2023,대구광역시,달서구,신당동,15.67
2023,대구광역시,중구,성내2동,14.11
2023,대구광역시,동구,신암4동,10.96
2022,대구광역시,중구,성내1동,26.38
2022,대구광역시,중구,삼덕동,18.07
2022,대구광역시,달서구,신당동,21.97
2022,대구광역시,중구,성내2동,15.97
2022,대구광역시,동구,신암4동,17.61
2021,대구광역시,중구,성내1동,21.83
2021,대구광역시,중구,삼덕동,23.31
2021,대구광역시,달서구,신당동,23.58
2021,대구광역시,중구,성내2동,13.43
2021,대구광역시,동구,신암4동,17.85
2020,대구광역시,중구,성내1동,14.77
2020,대구광역시,중구,삼덕동,26.91
2020,대구광역시,달서구,신당동,32.93
2020,대구광역시,중구,성내2동,14.4
2020,대구광역시,동구,신암4동,10.99
2019,대구광역시,중구,성내1동,18.19
2019,대구광역시,중구,삼덕동,53.0
2019,대구광역시,달서구,신당동,18.91
2019,대구광역시,중구,성내2동,7.02
2019,대구광역시,동구,신암4동,2.88
2018,대구광역시,중구,성내1동,11.66
2018,대구광역시,중구,삼덕동,32.74
2018,대구광역시,달서구,신당동,30.87
2018,대구광역시,중구,성내2동,7.77
2018,대구광역시,동구,신암4동,16.96
