기준연월,시도명,시군구,행정동,소비건수비율
2026,광주광역시,서구,치평동,37.02
2026,광주광역시,광산구,어룡동,21.31
2026,광주광역시,서구,농성1동,19.14
2026,광주광역시,동구,학동,11.42
2026,광주광역시,북구,용봉동,11.11
2025,광주광역시,서구,치평동,43.71
2025,광주광역시,광산구,어룡동,16.57
2025,광주광역시,서구,농성1동,13.99
2025,광주광역시,동구,학동,13.84
2025,광주광역시,북구,용봉동,11.88
2024,광주광역시,서구,치평동,43.53
2024,광주광역시,광산구,어룡동,16.21
2024,광주광역시,서구,농성1동,15.77
2024,광주광역시,동구,학동,11.2
2024,광주광역시,북구,용봉동,13.29
2023,광주광역시,서구,치평동,42.06
2023,광주광역시,광산구,어룡동,14.99
2023,광주광역시,서구,농성1동,16.27
2023,광주광역시,동구,학동,13.21
2023,광주광역시,북구,용봉동,13.47
2022,광주광역시,서구,치평동,30.88
2022,광주광역시,광산구,어룡동,10.64
2022,광주광역시,서구,농성1동,16.1
2022,광주광역시,동구,학동,27.3
2022,광주광역시,북구,용봉동,15.08
2021,광주광역시,서구,치평동,26.29
2021,광주광역시,광산구,어룡동,5.94
2021,광주광역시,서구,농성1동,12.25
2021,광주광역시,동구,학동,43.23
2021,광주광역시,북구,용봉동,12.28
2020,광주광역시,서구,치평동,26.0
2020,광주광역시,광산구,어룡동,5.94
2020,광주광역시,서구,농성1동,5.3
2020,광주광역시,동구,학동,44.41
2020,광주광역시,북구,용봉동,18.34
2019,광주광역시,서구,치평동,26.64
2019,광주광역시,광산구,어룡동,6.49
2019,광주광역시,서구,농성1동,8.2
2019,광주광역시,동구,학동,39.77
2019,광주광역시,북구,용봉동,18.9
2018,광주광역시,서구,치평동,30.73
2018,광주광역시,광산구,어룡동,8.8
2018,광주광역시,서구,농성1동,8.44
2018,광주광역시,동구,학동,36.04
2018,광주광역시,북구,용봉동,15.99
