기준연월,시도명,시군구,행정동,소비금액비율
2026,광주광역시,서구,치평동,41.53
2026,광주광역시,서구,농성1동,25.82
2026,광주광역시,동구,학동,16.22
2026,광주광역시,남구,양림동,9.01
2026,광주광역시,광산구,수완동,7.42
2025,광주광역시,서구,치평동,48.18
2025,광주광역시,서구,농성1동,20.1
2025,광주광역시,동구,학동,15.64
2025,광주광역시,남구,양림동,7.3
2025,광주광역시,광산구,수완동,8.77
2024,광주광역시,서구,치평동,50.42
2024,광주광역시,서구,농성1동,24.22
2024,광주광역시,동구,학동,9.41
2024,광주광역시,남구,양림동,8.86
2024,광주광역시,광산구,수완동,7.09
2023,광주광역시,서구,치평동,42.66
2023,광주광역시,서구,농성1동,27.1
2023,광주광역시,동구,학동,16.91
2023,광주광역시,남구,양림동,6.69
2023,광주광역시,광산구,수완동,6.63
2022,광주광역시,서구,치평동,33.74
2022,광주광역시,서구,농성1동,20.6
2022,광주광역시,동구,학동,26.55
2022,광주광역시,남구,양림동,13.58
2022,광주광역시,광산구,수완동,5.53
2021,광주광역시,서구,치평동,30.27
2021,광주광역시,서구,농성1동,13.46
2021,광주광역시,동구,학동,36.85
2021,광주광역시,남구,양림동,15.36
2021,광주광역시,광산구,수완동,4.07
2020,광주광역시,서구,치평동,38.32
2020,광주광역시,서구,농성1동,4.26
2020,광주광역시,동구,학동,47.92
2020,광주광역시,남구,양림동,6.91
2020,광주광역시,광산구,수완동,2.59
2019,광주광역시,서구,치평동,31.63
2019,광주광역시,서구,농성1동,10.22
2019,광주광역시,동구,학동,48.89
2019,광주광역시,남구,양림동,3.88
2019,광주광역시,광산구,수완동,5.38
2018,광주광역시,서구,치평동,37.26
2018,광주광역시,서구,농성1동,5.09
2018,광주광역시,동구,학동,51.22
2018,광주광역시,남구,양림동,4.26
2018,광주광역시,광산구,수완동,2.17
