기준연월,시도명,시군구,행정동,소비건수비율
2026,대전광역시,서구,둔산2동,45.62
2026,대전광역시,동구,자양동,16.21
2026,대전광역시,유성구,온천2동,13.99
2026,대전광역시,유성구,온천1동,12.43
2026,대전광역시,중구,대사동,11.74
2025,대전광역시,서구,둔산2동,50.27
2025,대전광역시,동구,자양동,15.05
2025,대전광역시,유성구,온천2동,11.41
2025,대전광역시,유성구,온천1동,11.3
2025,대전광역시,중구,대사동,11.97
2024,대전광역시,서구,둔산2동,49.67
2024,대전광역시,동구,자양동,15.13
2024,대전광역시,유성구,온천2동,12.45
2024,대전광역시,유성구,온천1동,10.99
2024,대전광역시,중구,대사동,11.76
2023,대전광역시,서구,둔산2동,45.79
2023,대전광역시,동구,자양동,13.93
2023,대전광역시,유성구,온천2동,11.37
2023,대전광역시,유성구,온천1동,11.19
2023,대전광역시,중구,대사동,17.72
2022,대전광역시,서구,둔산2동,46.54
2022,대전광역시,동구,자양동,10.51
2022,대전광역시,유성구,온천2동,12.12
2022,대전광역시,유성구,온천1동,12.91
2022,대전광역시,중구,대사동,17.91
2021,대전광역시,서구,둔산2동,55.01
2021,대전광역시,동구,자양동,6.45
2021,대전광역시,유성구,온천2동,10.73
2021,대전광역시,유성구,온천1동,7.66
2021,대전광역시,중구,대사동,20.14
2020,대전광역시,서구,둔산2동,49.56
2020,대전광역시,동구,자양동,4.02
2020,대전광역시,유성구,온천2동,16.61
2020,대전광역시,유성구,온천1동,12.44
2020,대전광역시,중구,대사동,17.36
2019,대전광역시,서구,둔산2동,43.87
2019,대전광역시,동구,자양동,5.12
2019,대전광역시,유성구,온천2동,15.28
2019,대전광역시,유성구,온천1동,12.09
2019,대전광역시,중구,대사동,23.63
2018,대전광역시,서구,둔산2동,45.14
2018,대전광역시,동구,자양동,4.29
2018,대전광역시,유성구,온천2동,14.04
2018,대전광역시,유성구,온천1동,13.88
2018,대전광역시,중구,대사동,22.65
