기준연월,시도명,시군구,행정동,소비금액비율
2026,대전광역시,서구,둔산2동,69.02
2026,대전광역시,중구,대사동,11.55
2026,대전광역시,서구,둔산1동,7.89
2026,대전광역시,서구,가수원동,6.47
2026,대전광역시,서구,탄방동,5.06
2025,대전광역시,서구,둔산2동,61.76
2025,대전광역시,중구,대사동,14.85
2025,대전광역시,서구,둔산1동,7.96
2025,대전광역시,서구,가수원동,10.88
2025,대전광역시,서구,탄방동,4.55
2024,대전광역시,서구,둔산2동,66.39
2024,대전광역시,중구,대사동,12.93
2024,대전광역시,서구,둔산1동,7.43
2024,대전광역시,서구,가수원동,7.9
2024,대전광역시,서구,탄방동,5.34
2023,대전광역시,서구,둔산2동,60.42
2023,대전광역시,중구,대사동,15.51
2023,대전광역시,서구,둔산1동,7.62
2023,대전광역시,서구,가수원동,10.84
2023,대전광역시,서구,탄방동,5.61
2022,대전광역시,서구,둔산2동,56.66
2022,대전광역시,중구,대사동,20.78
2022,대전광역시,서구,둔산1동,7.94
2022,대전광역시,서구,가수원동,6.08
2022,대전광역시,서구,탄방동,8.53
2021,대전광역시,서구,둔산2동,53.76
2021,대전광역시,중구,대사동,18.56
2021,대전광역시,서구,둔산1동,7.76
2021,대전광역시,서구,가수원동,10.97
2021,대전광역시,서구,탄방동,8.96
2020,대전광역시,서구,둔산2동,48.12
2020,대전광역시,중구,대사동,17.47
2020,대전광역시,서구,둔산1동,12.26
2020,대전광역시,서구,가수원동,12.06
2020,대전광역시,서구,탄방동,10.09
2019,대전광역시,서구,둔산2동,39.08
2019,대전광역시,중구,대사동,23.69
2019,대전광역시,서구,둔산1동,5.61
2019,대전광역시,서구,가수원동,27.07
2019,대전광역시,서구,탄방동,4.56
2018,대전광역시,서구,둔산2동,45.24
2018,대전광역시,중구,대사동,14.36
2018,대전광역시,서구,둔산1동,5.47
2018,대전광역시,서구,가수원동,16.64
2018,대전광역시,서구,탄방동,18.29
