기준연월,시도명,시군구,행정동,소비건수비율
2026,경기도,평택시,신평동,36.82
2026,경기도,평택시,팽성읍,27.24
2026,경기도,성남시 분당구,서현1동,15.8
2026,경기도,화성시 동탄구,동탄1동,10.15
2026,경기도,평택시,세교동,9.99
2025,경기도,평택시,신평동,38.85
2025,경기도,평택시,팽성읍,24.83
2025,경기도,성남시 분당구,서현1동,17.89
2025,경기도,화성시 동탄구,동탄1동,9.75
2025,경기도,평택시,세교동,8.67
2024,경기도,평택시,신평동,42.21
2024,경기도,평택시,팽성읍,25.15
2024,경기도,성남시 분당구,서현1동,13.86
2024,경기도,화성시 동탄구,동탄1동,9.34
2024,경기도,평택시,세교동,9.45
2023,경기도,평택시,신평동,39.99
2023,경기도,평택시,팽성읍,27.57
2023,경기도,성남시 분당구,서현1동,9.89
2023,경기도,화성시 동탄구,동탄1동,13.08
2023,경기도,평택시,세교동,9.48
2022,경기도,평택시,신평동,38.65
2022,경기도,평택시,팽성읍,26.43
2022,경기도,성남시 분당구,서현1동,8.06
2022,경기도,화성시 동탄구,동탄1동,16.16
2022,경기도,평택시,세교동,10.69
2021,경기도,평택시,신평동,37.7
2021,경기도,평택시,팽성읍,27.25
2021,경기도,성남시 분당구,서현1동,4.7
2021,경기도,화성시 동탄구,동탄1동,17.89
2021,경기도,평택시,세교동,12.47
2020,경기도,평택시,신평동,25.53
2020,경기도,평택시,팽성읍,39.51
2020,경기도,성남시 분당구,서현1동,6.22
2020,경기도,화성시 동탄구,동탄1동,16.42
2020,경기도,평택시,세교동,12.32
2019,경기도,평택시,신평동,16.37
2019,경기도,평택시,팽성읍,34.37
2019,경기도,성남시 분당구,서현1동,12.69
2019,경기도,화성시 동탄구,동탄1동,20.14
2019,경기도,평택시,세교동,16.44
2018,경기도,평택시,신평동,28.3
2018,경기도,평택시,팽성읍,23.65
2018,경기도,성남시 분당구,서현1동,10.7
2018,경기도,화성시 동탄구,동탄1동,21.14
2018,경기도,평택시,세교동,16.21
