기준연월,시도명,시군구,행정동,소비금액비율
2026,경기도,평택시,신평동,23.09
2026,경기도,고양시 덕양구,화정1동,22.61
2026,경기도,평택시,팽성읍,20.49
2026,경기도,성남시 분당구,구미동,16.98
2026,경기도,부천시 원미구,중1동,16.83
2025,경기도,평택시,신평동,22.97
2025,경기도,고양시 덕양구,화정1동,16.88
2025,경기도,평택시,팽성읍,18.3
2025,경기도,성남시 분당구,구미동,13.84
2025,경기도,부천시 원미구,중1동,28.02
2024,경기도,평택시,신평동,19.45
2024,경기도,고양시 덕양구,화정1동,11.77
2024,경기도,평택시,팽성읍,14.91
2024,경기도,성남시 분당구,구미동,9.51
2024,경기도,부천시 원미구,중1동,44.35
2023,경기도,평택시,신평동,30.15
2023,경기도,고양시 덕양구,화정1동,22.17
2023,경기도,평택시,팽성읍,29.07
2023,경기도,성남시 분당구,구미동,18.61
2022,경기도,평택시,신평동,30.05
2022,경기도,고양시 덕양구,화정1동,14.31
2022,경기도,평택시,팽성읍,37.12
2022,경기도,성남시 분당구,구미동,18.52
2021,경기도,평택시,신평동,26.39
2021,경기도,고양시 덕양구,화정1동,17.78
2021,경기도,평택시,팽성읍,34.38
2021,경기도,성남시 분당구,구미동,21.46
2020,경기도,평택시,신평동,16.17
2020,경기도,고양시 덕양구,화정1동,10.87
2020,경기도,평택시,팽성읍,43.94
2020,경기도,성남시 분당구,구미동,29.02
2019,경기도,평택시,신평동,4.57
2019,경기도,고양시 덕양구,화정1동,15.77
2019,경기도,평택시,팽성읍,21.21
2019,경기도,성남시 분당구,구미동,58.45
2018,경기도,평택시,신평동,8.32
2018,경기도,고양시 덕양구,화정1동,14.41
2018,경기도,평택시,팽성읍,17.04
2018,경기도,성남시 분당구,구미동,60.22
