기준연월,시도명,시군구,행정동,소비건수비율
2026,충청북도,청주시 흥덕구,복대1동,31.68
2026,충청북도,청주시 흥덕구,가경동,25.54
2026,충청북도,청주시 상당구,성안동,16.74
2026,충청북도,청주시 청원구,오근장동,13.25
2026,충청북도,청주시 서원구,성화.개신.죽림동,12.8
2025,충청북도,청주시 흥덕구,복대1동,36.48
2025,충청북도,청주시 흥덕구,가경동,27.26
2025,충청북도,청주시 상당구,성안동,15.06
2025,충청북도,청주시 청원구,오근장동,9.74
2025,충청북도,청주시 서원구,성화.개신.죽림동,11.45
2024,충청북도,청주시 흥덕구,복대1동,37.74
2024,충청북도,청주시 흥덕구,가경동,25.45
2024,충청북도,청주시 상당구,성안동,12.29
2024,충청북도,청주시 청원구,오근장동,12.09
2024,충청북도,청주시 서원구,성화.개신.죽림동,12.43
2023,충청북도,청주시 흥덕구,복대1동,31.24
2023,충청북도,청주시 흥덕구,가경동,25.95
2023,충청북도,청주시 상당구,성안동,14.15
2023,충청북도,청주시 청원구,오근장동,11.74
2023,충청북도,청주시 서원구,성화.개신.죽림동,16.93
2022,충청북도,청주시 흥덕구,복대1동,30.72
2022,충청북도,청주시 흥덕구,가경동,21.13
2022,충청북도,청주시 상당구,성안동,16.58
2022,충청북도,청주시 청원구,오근장동,15.01
2022,충청북도,청주시 서원구,성화.개신.죽림동,16.56
2021,충청북도,청주시 흥덕구,복대1동,24.67
2021,충청북도,청주시 흥덕구,가경동,22.23
2021,충청북도,청주시 상당구,성안동,9.06
2021,충청북도,청주시 청원구,오근장동,32.82
2021,충청북도,청주시 서원구,성화.개신.죽림동,11.23
2020,충청북도,청주시 흥덕구,복대1동,35.46
2020,충청북도,청주시 흥덕구,가경동,16.8
2020,충청북도,청주시 상당구,성안동,11.34
2020,충청북도,청주시 청원구,오근장동,13.36
2020,충청북도,청주시 서원구,성화.개신.죽림동,23.04
2019,충청북도,청주시 흥덕구,복대1동,23.51
2019,충청북도,청주시 흥덕구,가경동,26.29
2019,충청북도,청주시 상당구,성안동,11.32
2019,충청북도,청주시 청원구,오근장동,14.44
2019,충청북도,청주시 서원구,성화.개신.죽림동,24.44
2018,충청북도,청주시 흥덕구,복대1동,27.11
2018,충청북도,청주시 흥덕구,가경동,22.34
2018,충청북도,청주시 상당구,성안동,15.63
2018,충청북도,청주시 청원구,오근장동,12.91
2018,충청북도,청주시 서원구,성화.개신.죽림동,22.01
