기준연월,시도명,시군구,행정동,소비금액비율
2026,충청북도,청주시 서원구,성화.개신.죽림동,24.55
2026,충청북도,청주시 흥덕구,가경동,21.68
2026,충청북도,청주시 흥덕구,강서1동,21.37
2026,충청북도,청주시 흥덕구,복대1동,17.62
2026,충청북도,청주시 상당구,성안동,14.78
2025,충청북도,청주시 서원구,성화.개신.죽림동,17.92
2025,충청북도,청주시 흥덕구,가경동,25.61
2025,충청북도,청주시 흥덕구,강서1동,18.02
2025,충청북도,청주시 흥덕구,복대1동,21.83
2025,충청북도,청주시 상당구,성안동,16.62
2024,충청북도,청주시 서원구,성화.개신.죽림동,22.11
2024,충청북도,청주시 흥덕구,가경동,23.71
2024,충청북도,청주시 흥덕구,강서1동,13.29
2024,충청북도,청주시 흥덕구,복대1동,26.88
2024,충청북도,청주시 상당구,성안동,14.0
2023,충청북도,청주시 서원구,성화.개신.죽림동,22.09
2023,충청북도,청주시 흥덕구,가경동,20.43
2023,충청북도,청주시 흥덕구,강서1동,11.77
2023,충청북도,청주시 흥덕구,복대1동,22.9
2023,충청북도,청주시 상당구,성안동,22.81
2022,충청북도,청주시 서원구,성화.개신.죽림동,20.97
2022,충청북도,청주시 흥덕구,가경동,22.7
2022,충청북도,청주시 흥덕구,강서1동,20.58
2022,충청북도,청주시 흥덕구,복대1동,17.27
2022,충청북도,청주시 상당구,성안동,18.48
2021,충청북도,청주시 서원구,성화.개신.죽림동,24.79
2021,충청북도,청주시 흥덕구,가경동,27.82
2021,충청북도,청주시 흥덕구,강서1동,15.64
2021,충청북도,청주시 흥덕구,복대1동,21.19
2021,충청북도,청주시 상당구,성안동,10.55
2020,충청북도,청주시 서원구,성화.개신.죽림동,35.01
2020,충청북도,청주시 흥덕구,가경동,17.01
2020,충청북도,청주시 흥덕구,강서1동,9.07
2020,충청북도,청주시 흥덕구,복대1동,30.7
2020,충청북도,청주시 상당구,성안동,8.21
2019,충청북도,청주시 서원구,성화.개신.죽림동,46.06
2019,충청북도,청주시 흥덕구,가경동,24.68
2019,충청북도,청주시 흥덕구,강서1동,11.49
2019,충청북도,청주시 흥덕구,복대1동,9.06
2019,충청북도,청주시 상당구,성안동,8.71
2018,충청북도,청주시 서원구,성화.개신.죽림동,55.85
2018,충청북도,청주시 흥덕구,가경동,10.31
2018,충청북도,청주시 흥덕구,강서1동,21.43
2018,충청북도,청주시 흥덕구,복대1동,6.38
2018,충청북도,청주시 상당구,성안동,6.03
