기준연월,시도명,시군구,행정동,소비건수비율
2026,충청남도,천안시 동남구,신안동,49.47
2026,충청남도,천안시 서북구,불당2동,20.73
2026,충청남도,아산시,둔포면,19.44
2026,충청남도,천안시 서북구,쌍용1동,5.68
2026,충청남도,천안시 동남구,봉명동,4.68
2025,충청남도,천안시 동남구,신안동,49.8
2025,충청남도,천안시 서북구,불당2동,19.85
2025,충청남도,아산시,둔포면,18.84
2025,충청남도,천안시 서북구,쌍용1동,4.86
2025,충청남도,천안시 동남구,봉명동,6.64
2024,충청남도,천안시 동남구,신안동,46.8
2024,충청남도,천안시 서북구,불당2동,17.37
2024,충청남도,아산시,둔포면,21.39
2024,충청남도,천안시 서북구,쌍용1동,5.02
2024,충청남도,천안시 동남구,봉명동,9.42
2023,충청남도,천안시 동남구,신안동,46.28
2023,충청남도,천안시 서북구,불당2동,19.49
2023,충청남도,아산시,둔포면,16.41
2023,충청남도,천안시 서북구,쌍용1동,7.45
2023,충청남도,천안시 동남구,봉명동,10.37
2022,충청남도,천안시 동남구,신안동,49.1
2022,충청남도,천안시 서북구,불당2동,14.89
2022,충청남도,아산시,둔포면,10.93
2022,충청남도,천안시 서북구,쌍용1동,13.37
2022,충청남도,천안시 동남구,봉명동,11.71
2021,충청남도,천안시 동남구,신안동,43.62
2021,충청남도,천안시 서북구,불당2동,10.35
2021,충청남도,아산시,둔포면,9.68
2021,충청남도,천안시 서북구,쌍용1동,23.54
2021,충청남도,천안시 동남구,봉명동,12.82
2020,충청남도,천안시 동남구,신안동,45.71
2020,충청남도,천안시 서북구,불당2동,12.46
2020,충청남도,아산시,둔포면,12.24
2020,충청남도,천안시 서북구,쌍용1동,19.52
2020,충청남도,천안시 동남구,봉명동,10.07
2019,충청남도,천안시 동남구,신안동,58.72
2019,충청남도,천안시 서북구,불당2동,8.45
2019,충청남도,아산시,둔포면,9.91
2019,충청남도,천안시 서북구,쌍용1동,7.66
2019,충청남도,천안시 동남구,봉명동,15.26
2018,충청남도,천안시 동남구,신안동,55.41
2018,충청남도,천안시 서북구,불당2동,7.85
2018,충청남도,아산시,둔포면,15.08
2018,충청남도,천안시 서북구,쌍용1동,5.38
2018,충청남도,천안시 동남구,봉명동,16.27
