기준연월,시도명,시군구,행정동,소비금액비율
2026,충청남도,천안시 서북구,부성1동,36.7
2026,충청남도,천안시 동남구,신안동,34.4
2026,충청남도,천안시 서북구,불당2동,21.12
2026,충청남도,천안시 서북구,쌍용1동,4.8
2026,충청남도,천안시 동남구,봉명동,2.97
2025,충청남도,천안시 서북구,부성1동,26.21
2025,충청남도,천안시 동남구,신안동,41.95
2025,충청남도,천안시 서북구,불당2동,23.19
2025,충청남도,천안시 서북구,쌍용1동,3.47
2025,충청남도,천안시 동남구,봉명동,5.18
2024,충청남도,천안시 서북구,부성1동,19.42
2024,충청남도,천안시 동남구,신안동,47.57
2024,충청남도,천안시 서북구,불당2동,16.37
2024,충청남도,천안시 서북구,쌍용1동,5.86
2024,충청남도,천안시 동남구,봉명동,10.78
2023,충청남도,천안시 서북구,부성1동,31.92
2023,충청남도,천안시 동남구,신안동,37.9
2023,충청남도,천안시 서북구,불당2동,16.72
2023,충청남도,천안시 서북구,쌍용1동,3.79
2023,충청남도,천안시 동남구,봉명동,9.67
2022,충청남도,천안시 서북구,부성1동,22.15
2022,충청남도,천안시 동남구,신안동,48.89
2022,충청남도,천안시 서북구,불당2동,13.21
2022,충청남도,천안시 서북구,쌍용1동,5.58
2022,충청남도,천안시 동남구,봉명동,10.17
2021,충청남도,천안시 서북구,부성1동,8.16
2021,충청남도,천안시 동남구,신안동,51.36
2021,충청남도,천안시 서북구,불당2동,11.24
2021,충청남도,천안시 서북구,쌍용1동,18.51
2021,충청남도,천안시 동남구,봉명동,10.73
2020,충청남도,천안시 서북구,부성1동,29.93
2020,충청남도,천안시 동남구,신안동,37.44
2020,충청남도,천안시 서북구,불당2동,6.81
2020,충청남도,천안시 서북구,쌍용1동,19.53
2020,충청남도,천안시 동남구,봉명동,6.29
2019,충청남도,천안시 서북구,부성1동,38.21
2019,충청남도,천안시 동남구,신안동,44.42
2019,충청남도,천안시 서북구,불당2동,4.58
2019,충청남도,천안시 서북구,쌍용1동,4.18
2019,충청남도,천안시 동남구,봉명동,8.61
2018,충청남도,천안시 서북구,부성1동,23.26
2018,충청남도,천안시 동남구,신안동,39.93
2018,충청남도,천안시 서북구,불당2동,5.5
2018,충청남도,천안시 서북구,쌍용1동,5.87
2018,충청남도,천안시 동남구,봉명동,25.44
