기준연월,시도명,시군구,행정동,소비건수비율
2026,경상북도,경산시,하양읍,42.16
2026,경상북도,경주시,황오동,22.27
2026,경상북도,경주시,성건동,19.57
2026,경상북도,칠곡군,왜관읍,9.47
2026,경상북도,포항시 남구,상대동,6.54
2025,경상북도,경산시,하양읍,33.58
2025,경상북도,경주시,황오동,16.97
2025,경상북도,경주시,성건동,24.18
2025,경상북도,칠곡군,왜관읍,13.68
2025,경상북도,포항시 남구,상대동,11.59
2024,경상북도,경산시,하양읍,26.3
2024,경상북도,경주시,황오동,21.4
2024,경상북도,경주시,성건동,21.75
2024,경상북도,칠곡군,왜관읍,15.42
2024,경상북도,포항시 남구,상대동,15.14
2023,경상북도,경산시,하양읍,15.54
2023,경상북도,경주시,황오동,21.5
2023,경상북도,경주시,성건동,21.79
2023,경상북도,칠곡군,왜관읍,21.58
2023,경상북도,포항시 남구,상대동,19.59
2022,경상북도,경산시,하양읍,10.36
2022,경상북도,경주시,황오동,15.89
2022,경상북도,경주시,성건동,15.76
2022,경상북도,칠곡군,왜관읍,30.28
2022,경상북도,포항시 남구,상대동,27.7
2021,경상북도,경산시,하양읍,6.49
2021,경상북도,경주시,황오동,9.83
2021,경상북도,경주시,성건동,16.03
2021,경상북도,칠곡군,왜관읍,37.06
2021,경상북도,포항시 남구,상대동,30.58
2020,경상북도,경산시,하양읍,9.93
2020,경상북도,경주시,황오동,14.0
2020,경상북도,경주시,성건동,11.57
2020,경상북도,칠곡군,왜관읍,49.9
2020,경상북도,포항시 남구,상대동,14.6
2019,경상북도,경산시,하양읍,10.06
2019,경상북도,경주시,황오동,18.22
2019,경상북도,경주시,성건동,25.06
2019,경상북도,칠곡군,왜관읍,33.9
2019,경상북도,포항시 남구,상대동,12.76
2018,경상북도,경산시,하양읍,7.13
2018,경상북도,경주시,황오동,14.28
2018,경상북도,경주시,성건동,24.72
2018,경상북도,칠곡군,왜관읍,39.41
2018,경상북도,포항시 남구,상대동,14.46
