기준연월,시도명,시군구,행정동,소비금액비율
2026,경상북도,경주시,성건동,31.64
2026,경상북도,포항시 남구,상대동,19.43
2026,경상북도,구미시,형곡1동,18.25
2026,경상북도,구미시,진미동,17.55
2026,경상북도,포항시 북구,죽도동,13.14
2025,경상북도,경주시,성건동,26.24
2025,경상북도,포항시 남구,상대동,22.35
2025,경상북도,구미시,형곡1동,14.36
2025,경상북도,구미시,진미동,20.82
2025,경상북도,포항시 북구,죽도동,16.23
2024,경상북도,경주시,성건동,13.04
2024,경상북도,포항시 남구,상대동,23.7
2024,경상북도,구미시,형곡1동,25.75
2024,경상북도,구미시,진미동,22.96
2024,경상북도,포항시 북구,죽도동,14.54
2023,경상북도,경주시,성건동,9.39
2023,경상북도,포항시 남구,상대동,19.83
2023,경상북도,구미시,형곡1동,20.53
2023,경상북도,구미시,진미동,37.62
2023,경상북도,포항시 북구,죽도동,12.64
2022,경상북도,경주시,성건동,6.9
2022,경상북도,포항시 남구,상대동,25.61
2022,경상북도,구미시,형곡1동,23.5
2022,경상북도,구미시,진미동,28.69
2022,경상북도,포항시 북구,죽도동,15.31
2021,경상북도,경주시,성건동,9.53
2021,경상북도,포항시 남구,상대동,19.36
2021,경상북도,구미시,형곡1동,45.82
2021,경상북도,구미시,진미동,6.22
2021,경상북도,포항시 북구,죽도동,19.07
2020,경상북도,경주시,성건동,6.98
2020,경상북도,포항시 남구,상대동,20.85
2020,경상북도,구미시,형곡1동,54.78
2020,경상북도,구미시,진미동,5.79
2020,경상북도,포항시 북구,죽도동,11.6
2019,경상북도,경주시,성건동,11.71
2019,경상북도,포항시 남구,상대동,11.23
2019,경상북도,구미시,형곡1동,29.44
2019,경상북도,구미시,진미동,17.72
2019,경상북도,포항시 북구,죽도동,29.89
2018,경상북도,경주시,성건동,18.18
2018,경상북도,포항시 남구,상대동,7.96
2018,경상북도,구미시,형곡1동,29.85
2018,경상북도,구미시,진미동,10.3
2018,경상북도,포항시 북구,죽도동,33.72
