기준연월,시도명,시군구,행정동,소비건수비율
2026,경상남도,양산시,물금읍,28.56
2026,경상남도,창원시 성산구,상남동,26.47
2026,경상남도,거제시,고현동,20.17
2026,경상남도,진주시,천전동,17.14
2026,경상남도,거제시,장승포동,7.66
2025,경상남도,양산시,물금읍,29.16
2025,경상남도,창원시 성산구,상남동,24.11
2025,경상남도,거제시,고현동,23.98
2025,경상남도,진주시,천전동,15.26
2025,경상남도,거제시,장승포동,7.48
2024,경상남도,양산시,물금읍,29.63
2024,경상남도,창원시 성산구,상남동,23.31
2024,경상남도,거제시,고현동,21.52
2024,경상남도,진주시,천전동,17.61
2024,경상남도,거제시,장승포동,7.93
2023,경상남도,양산시,물금읍,34.16
2023,경상남도,창원시 성산구,상남동,22.16
2023,경상남도,거제시,고현동,13.87
2023,경상남도,진주시,천전동,21.81
2023,경상남도,거제시,장승포동,8.0
2022,경상남도,양산시,물금읍,27.72
2022,경상남도,창원시 성산구,상남동,19.06
2022,경상남도,거제시,고현동,15.73
2022,경상남도,진주시,천전동,19.98
2022,경상남도,거제시,장승포동,17.51
2021,경상남도,양산시,물금읍,24.02
2021,경상남도,창원시 성산구,상남동,14.43
2021,경상남도,거제시,고현동,20.08
2021,경상남도,진주시,천전동,16.9
2021,경상남도,거제시,장승포동,24.57
2020,경상남도,양산시,물금읍,28.34
2020,경상남도,창원시 성산구,상남동,15.85
2020,경상남도,거제시,고현동,22.12
2020,경상남도,진주시,천전동,16.0
2020,경상남도,거제시,장승포동,17.69
2019,경상남도,양산시,물금읍,32.94
2019,경상남도,창원시 성산구,상남동,15.56
2019,경상남도,거제시,고현동,11.25
2019,경상남도,진주시,천전동,12.88
2019,경상남도,거제시,장승포동,27.37
2018,경상남도,양산시,물금읍,36.05
2018,경상남도,창원시 성산구,상남동,11.29
2018,경상남도,거제시,고현동,10.59
2018,경상남도,진주시,천전동,9.78
2018,경상남도,거제시,장승포동,32.29
