기준연월,시도명,시군구,행정동,소비금액비율
2026,경상남도,양산시,물금읍,38.9
2026,경상남도,거제시,상문동,23.05
2026,경상남도,창원시 성산구,상남동,18.89
2026,경상남도,진주시,천전동,13.78
2026,경상남도,거제시,장승포동,5.38
2025,경상남도,양산시,물금읍,53.1
2025,경상남도,거제시,상문동,12.87
2025,경상남도,창원시 성산구,상남동,13.43
2025,경상남도,진주시,천전동,15.0
2025,경상남도,거제시,장승포동,5.59
2024,경상남도,양산시,물금읍,51.4
2024,경상남도,거제시,상문동,15.35
2024,경상남도,창원시 성산구,상남동,14.71
2024,경상남도,진주시,천전동,11.44
2024,경상남도,거제시,장승포동,7.1
2023,경상남도,양산시,물금읍,58.79
2023,경상남도,거제시,상문동,6.15
2023,경상남도,창원시 성산구,상남동,11.25
2023,경상남도,진주시,천전동,17.85
2023,경상남도,거제시,장승포동,5.96
2022,경상남도,양산시,물금읍,39.64
2022,경상남도,거제시,상문동,16.96
2022,경상남도,창원시 성산구,상남동,13.29
2022,경상남도,진주시,천전동,19.68
2022,경상남도,거제시,장승포동,10.43
2021,경상남도,양산시,물금읍,25.89
2021,경상남도,거제시,상문동,30.28
2021,경상남도,창원시 성산구,상남동,9.58
2021,경상남도,진주시,천전동,13.46
2021,경상남도,거제시,장승포동,20.79
2020,경상남도,양산시,물금읍,27.71
2020,경상남도,거제시,상문동,22.19
2020,경상남도,창원시 성산구,상남동,13.32
2020,경상남도,진주시,천전동,17.26
2020,경상남도,거제시,장승포동,19.51
2019,경상남도,양산시,물금읍,42.19
2019,경상남도,거제시,상문동,7.2
2019,경상남도,창원시 성산구,상남동,13.26
2019,경상남도,진주시,천전동,15.5
2019,경상남도,거제시,장승포동,21.85
2018,경상남도,양산시,물금읍,48.82
2018,경상남도,거제시,상문동,4.77
2018,경상남도,창원시 성산구,상남동,15.41
2018,경상남도,진주시,천전동,6.31
2018,경상남도,거제시,장승포동,24.69
