기준연월,시도명,시군구,행정동,소비건수비율
2026,제주특별자치도,제주시,연동,50.1
2026,제주특별자치도,제주시,노형동,36.28
2026,제주특별자치도,제주시,일도1동,7.97
2026,제주특별자치도,제주시,용담2동,3.93
2026,제주특별자치도,제주시,아라동,1.73
2025,제주특별자치도,제주시,연동,43.02
2025,제주특별자치도,제주시,노형동,42.29
2025,제주특별자치도,제주시,일도1동,5.96
2025,제주특별자치도,제주시,용담2동,6.46
2025,제주특별자치도,제주시,아라동,2.27
2024,제주특별자치도,제주시,연동,47.56
2024,제주특별자치도,제주시,노형동,35.26
2024,제주특별자치도,제주시,일도1동,3.87
2024,제주특별자치도,제주시,용담2동,9.87
2024,제주특별자치도,제주시,아라동,3.43
2023,제주특별자치도,제주시,연동,45.26
2023,제주특별자치도,제주시,노형동,31.05
2023,제주특별자치도,제주시,일도1동,3.9
2023,제주특별자치도,제주시,용담2동,13.58
2023,제주특별자치도,제주시,아라동,6.21
2022,제주특별자치도,제주시,연동,36.52
2022,제주특별자치도,제주시,노형동,28.25
2022,제주특별자치도,제주시,일도1동,2.51
2022,제주특별자치도,제주시,용담2동,11.2
2022,제주특별자치도,제주시,아라동,21.52
2021,제주특별자치도,제주시,연동,30.2
2021,제주특별자치도,제주시,노형동,28.81
2021,제주특별자치도,제주시,일도1동,1.98
2021,제주특별자치도,제주시,용담2동,3.35
2021,제주특별자치도,제주시,아라동,35.65
2020,제주특별자치도,제주시,연동,47.12
2020,제주특별자치도,제주시,노형동,30.13
2020,제주특별자치도,제주시,일도1동,3.97
2020,제주특별자치도,제주시,용담2동,5.78
2020,제주특별자치도,제주시,아라동,13.0
2019,제주특별자치도,제주시,연동,60.97
2019,제주특별자치도,제주시,노형동,20.73
2019,제주특별자치도,제주시,일도1동,2.85
2019,제주특별자치도,제주시,용담2동,6.79
2019,제주특별자치도,제주시,아라동,8.66
2018,제주특별자치도,제주시,연동,61.99
2018,제주특별자치도,제주시,노형동,23.07
2018,제주특별자치도,제주시,일도1동,2.15
2018,제주특별자치도,제주시,용담2동,5.1
2018,제주특별자치도,제주시,아라동,7.68
