기준연월,시도명,시군구,행정동,소비금액비율
2026,제주특별자치도,제주시,노형동,61.75
2026,제주특별자치도,제주시,연동,35.42
2026,제주특별자치도,제주시,이호동,1.61
2026,제주특별자치도,제주시,아라동,1.11
2026,제주특별자치도,서귀포시,중문동,0.12
2025,제주특별자치도,제주시,노형동,67.98
2025,제주특별자치도,제주시,연동,28.72
2025,제주특별자치도,제주시,이호동,1.32
2025,제주특별자치도,제주시,아라동,1.77
2025,제주특별자치도,서귀포시,중문동,0.21
2024,제주특별자치도,제주시,노형동,52.75
2024,제주특별자치도,제주시,연동,41.4
2024,제주특별자치도,제주시,이호동,2.35
2024,제주특별자치도,제주시,아라동,2.69
2024,제주특별자치도,서귀포시,중문동,0.81
2023,제주특별자치도,제주시,노형동,32.93
2023,제주특별자치도,제주시,연동,54.14
2023,제주특별자치도,제주시,이호동,3.54
2023,제주특별자치도,제주시,아라동,5.3
2023,제주특별자치도,서귀포시,중문동,4.1
2022,제주특별자치도,제주시,노형동,20.39
2022,제주특별자치도,제주시,연동,43.98
2022,제주특별자치도,제주시,이호동,4.89
2022,제주특별자치도,제주시,아라동,21.01
2022,제주특별자치도,서귀포시,중문동,9.74
2021,제주특별자치도,제주시,노형동,23.23
2021,제주특별자치도,제주시,연동,31.35
2021,제주특별자치도,제주시,이호동,5.27
2021,제주특별자치도,제주시,아라동,33.11
2021,제주특별자치도,서귀포시,중문동,7.04
2020,제주특별자치도,제주시,노형동,22.84
2020,제주특별자치도,제주시,연동,46.76
2020,제주특별자치도,제주시,이호동,2.95
2020,제주특별자치도,제주시,아라동,13.97
2020,제주특별자치도,서귀포시,중문동,13.48
2019,제주특별자치도,제주시,노형동,16.95
2019,제주특별자치도,제주시,연동,55.67
2019,제주특별자치도,제주시,이호동,5.38
2019,제주특별자치도,제주시,아라동,9.24
2019,제주특별자치도,서귀포시,중문동,12.76
2018,제주특별자치도,제주시,노형동,25.73
2018,제주특별자치도,제주시,연동,48.44
2018,제주특별자치도,제주시,이호동,10.24
2018,제주특별자치도,제주시,아라동,8.53
2018,제주특별자치도,서귀포시,중문동,7.06
