기준연월,시도명,시군구,행정동,소비건수비율
2026,전북특별자치도,전주시 덕진구,덕진동,29.21
2026,전북특별자치도,전주시 덕진구,금암동,23.34
2026,전북특별자치도,군산시,수송동,22.38
2026,전북특별자치도,전주시 완산구,중화산1동,14.85
2026,전북특별자치도,전주시 덕진구,우아1동,10.22
2025,전북특별자치도,전주시 덕진구,덕진동,17.45
2025,전북특별자치도,전주시 덕진구,금암동,25.23
2025,전북특별자치도,군산시,수송동,28.71
2025,전북특별자치도,전주시 완산구,중화산1동,17.8
2025,전북특별자치도,전주시 덕진구,우아1동,10.81
2024,전북특별자치도,전주시 덕진구,덕진동,13.81
2024,전북특별자치도,전주시 덕진구,금암동,27.25
2024,전북특별자치도,군산시,수송동,29.93
2024,전북특별자치도,전주시 완산구,중화산1동,17.02
2024,전북특별자치도,전주시 덕진구,우아1동,11.99
2023,전북특별자치도,전주시 덕진구,덕진동,14.85
2023,전북특별자치도,전주시 덕진구,금암동,25.27
2023,전북특별자치도,군산시,수송동,28.06
2023,전북특별자치도,전주시 완산구,중화산1동,16.79
2023,전북특별자치도,전주시 덕진구,우아1동,15.03
2022,전북특별자치도,전주시 덕진구,덕진동,10.57
2022,전북특별자치도,전주시 덕진구,금암동,22.62
2022,전북특별자치도,군산시,수송동,23.58
2022,전북특별자치도,전주시 완산구,중화산1동,21.12
2022,전북특별자치도,전주시 덕진구,우아1동,22.11
2021,전북특별자치도,전주시 덕진구,덕진동,7.75
2021,전북특별자치도,전주시 덕진구,금암동,15.25
2021,전북특별자치도,군산시,수송동,29.02
2021,전북특별자치도,전주시 완산구,중화산1동,22.31
2021,전북특별자치도,전주시 덕진구,우아1동,25.65
2020,전북특별자치도,전주시 덕진구,덕진동,7.44
2020,전북특별자치도,전주시 덕진구,금암동,22.38
2020,전북특별자치도,군산시,수송동,29.08
2020,전북특별자치도,전주시 완산구,중화산1동,22.76
2020,전북특별자치도,전주시 덕진구,우아1동,18.34
2019,전북특별자치도,전주시 덕진구,덕진동,9.24
2019,전북특별자치도,전주시 덕진구,금암동,33.94
2019,전북특별자치도,군산시,수송동,29.45
2019,전북특별자치도,전주시 완산구,중화산1동,16.49
2019,전북특별자치도,전주시 덕진구,우아1동,10.88
2018,전북특별자치도,전주시 덕진구,덕진동,8.41
2018,전북특별자치도,전주시 덕진구,금암동,28.13
2018,전북특별자치도,군산시,수송동,35.36
2018,전북특별자치도,전주시 완산구,중화산1동,19.24
2018,전북특별자치도,전주시 덕진구,우아1동,8.87
